x,y,species max
216.0,216.0,0.0021257175
217.0,217.0,4.5814215E-7
218.0,218.0,0.40262473
219.0,219.0,0.042211074
220.0,220.0,0.49322766
221.0,221.0,0.30929825
222.0,222.0,0.39978105
223.0,223.0,0.12976395
224.0,224.0,0.9561903
225.0,225.0,0.17425439
226.0,226.0,1.7708291E-4
227.0,227.0,2.1689976E-4
228.0,228.0,0.13296111
229.0,229.0,2.8519076E-5
230.0,230.0,0.043507107
231.0,231.0,0.49906698
232.0,232.0,5.3836877E-4
233.0,233.0,5.8249687E-4
234.0,234.0,0.28299066
235.0,235.0,0.10397501
236.0,236.0,0.047974013
237.0,237.0,1.4535408E-7
238.0,238.0,0.57261413
239.0,239.0,0.28663653
240.0,240.0,2.6943348E-4
241.0,241.0,0.21592174
242.0,242.0,0.15149228
243.0,243.0,0.11683251
244.0,244.0,0.29298657
245.0,245.0,5.535887E-4
246.0,246.0,0.28372434
247.0,247.0,0.05849935
248.0,248.0,0.022521224
249.0,249.0,0.04690859
250.0,250.0,0.110271186
251.0,251.0,2.209116E-5
252.0,252.0,0.21176541
253.0,253.0,0.19652213
254.0,254.0,0.27034155
255.0,255.0,0.18684208
256.0,256.0,0.1667672
257.0,257.0,0.010910255
258.0,258.0,0.21601334
259.0,259.0,0.0133075835
260.0,260.0,0.09243981
261.0,261.0,0.018770644
262.0,262.0,0.16001624
263.0,263.0,0.113801494
264.0,264.0,3.7279212E-6
265.0,265.0,0.0030808714
266.0,266.0,0.1049965
267.0,267.0,0.009426631
268.0,268.0,0.2248326
269.0,269.0,0.15395804
270.0,270.0,1.8257911E-6
271.0,271.0,1.1980218E-9
272.0,272.0,0.046494886
273.0,273.0,0.20510876
274.0,274.0,0.006335905
275.0,275.0,0.001370896
276.0,276.0,0.74269104
277.0,277.0,0.020375151
278.0,278.0,3.579239E-7
279.0,279.0,0.14432403
280.0,280.0,0.11554534
281.0,281.0,0.9869916
282.0,282.0,0.006585455
283.0,283.0,2.1256723E-7
284.0,284.0,6.0238555E-4
285.0,285.0,0.28287193
286.0,286.0,0.0022366273
287.0,287.0,0.954883
288.0,288.0,1.00021694E-4
289.0,289.0,1.6050718E-6
290.0,290.0,5.4662978E-5
291.0,291.0,4.4085833E-4
292.0,292.0,0.18228629
293.0,293.0,0.5861511
294.0,294.0,0.02226649
295.0,295.0,0.19218276
296.0,296.0,2.37128E-4
297.0,297.0,0.0010641288
298.0,298.0,4.975153E-6
299.0,299.0,5.2011732E-5
300.0,300.0,0.061772037
301.0,301.0,0.50827533
302.0,302.0,2.6046118E-8
303.0,303.0,0.010364422
304.0,304.0,4.4931627E-7
305.0,305.0,1.2586629E-8
306.0,306.0,1.5604171E-5
307.0,307.0,9.309849E-9
308.0,308.0,0.14818029
309.0,309.0,6.9589637E-6
310.0,310.0,0.13100779
311.0,311.0,0.2238697
312.0,312.0,0.48213077
313.0,313.0,0.83555686
314.0,314.0,0.9571383
315.0,315.0,2.2564443E-8
316.0,316.0,0.265327
317.0,317.0,0.0018152843
318.0,318.0,0.0017983738
319.0,319.0,0.022075308
320.0,320.0,0.38092023
321.0,321.0,2.4774537E-4
322.0,322.0,0.017631931
323.0,323.0,0.9608078
324.0,324.0,0.15029718
325.0,325.0,0.0067816195
326.0,326.0,0.10066644
327.0,327.0,7.524849E-4
328.0,328.0,0.8378635
329.0,329.0,4.2422358E-5
330.0,330.0,0.012835445
331.0,331.0,0.12352396
332.0,332.0,0.08567806
333.0,333.0,3.1885526E-7
334.0,334.0,0.38894013
335.0,335.0,0.004762146
336.0,336.0,0.2100713
337.0,337.0,2.6824864E-6
338.0,338.0,0.12839505
339.0,339.0,0.001792081
340.0,340.0,0.23006
341.0,341.0,0.07928978
342.0,342.0,0.092963435
343.0,343.0,0.20079315
344.0,344.0,0.051900584
345.0,345.0,0.24113208
346.0,346.0,2.4224473E-6
347.0,347.0,0.06372044
348.0,348.0,0.8028416
