"","binomial","CloudMin","Cloud1Q","CloudMed","CloudMea","Cloud3Q","CloudMax"
"256","Plethodon shenandoah","154.1  ","154.9  ","155.8  ","155.3  ","155.9  ","156.0  "
"257","Plethodon shermani","127.4  ","137.3  ","145.1  ","143.0  ","149.1  ","155.7  "
"258","Plethodon stormi"," 87.46  "," 92.23  "," 94.89  "," 95.12  "," 97.76  ","101.57  "
"259","Plethodon teyahalee","110.3  ","134.4  ","139.8  ","139.8  ","145.1  ","164.7  "
"260","Plethodon vandykei","157.8  ","172.9  ","176.4  ","175.8  ","180.0  ","189.9  "
"261","Plethodon vehiculum","111.4  ","163.4  ","176.3  ","172.8  ","187.0  ","207.2  "
"262","Plethodon ventralis","117.2  ","135.3  ","141.2  ","141.2  ","147.8  ","166.8  "
"263","Plethodon virginia","160.9  ","163.2  ","166.2  ","165.6  ","167.2  ","174.6  "
"264","Plethodon websteri","107.7  ","120.2  ","124.5  ","126.3  ","130.8  ","157.5  "
"265","Plethodon welleri","150.9  ","152.4  ","155.0  ","155.6  ","158.1  ","166.1  "
"266","Plethodon yonahlossee","127.5  ","150.6  ","153.3  ","152.7  ","158.0  ","166.1  "
"267","Pseudoeurycea altamontana","116.4  ","124.4  ","130.2  ","133.0  ","138.5  ","158.5  "
"268","Pseudoeurycea aurantia","128.8  ","135.1  ","143.5  ","142.3  ","150.8  ","153.5  "
"269","Pseudoeurycea cochranae","108.5  ","128.5  ","136.5  ","136.5  ","146.6  ","156.9  "
"270","Pseudoeurycea firscheini","136.5  ","141.1  ","145.7  ","145.7  ","150.3  ","154.9  "
"271","Pseudoeurycea gadovii","105.1  ","127.2  ","141.7  ","149.5  ","174.1  ","200.2  "
"272","Pseudoeurycea juarezi","125.9  ","150.7  ","161.3  ","159.8  ","172.0  ","188.3  "
"273","Pseudoeurycea leprosa"," 94.62  ","124.17  ","133.07  ","138.79  ","154.00  ","195.82  "
"274","Pseudoeurycea longicauda"," 98.34  ","103.33  ","108.32  ","112.87  ","120.13  ","131.95  "
"275","Pseudoeurycea melanomolga","126.8  ","135.9  ","150.0  ","152.2  ","166.3  ","182.0  "
"276","Pseudoeurycea mixcoatl","140.7  ","142.8  ","144.9  ","144.9  ","147.0  ","149.0  "
"277","Pseudoeurycea obesa","133.2  ","137.6  ","141.9  ","141.9  ","146.3  ","150.7  "
"278","Pseudoeurycea orchileucos","175.8  ","175.8  ","175.8  ","175.8  ","175.8  ","175.8  "
"279","Pseudoeurycea orchimelas","156.1  ","173.3  ","183.8  ","181.6  ","190.1  ","197.5  "
"280","Pseudoeurycea papenfussi","112.6  ","143.0  ","149.7  ","146.0  ","150.6  ","172.0  "
"281","Pseudoeurycea rex","137.5  ","167.4  ","181.5  ","177.5  ","192.5  ","204.2  "
"282","Pseudoeurycea robertsi","117.0  ","135.7  ","143.6  ","142.7  ","150.6  ","166.4  "
"283","Pseudoeurycea ruficauda","122.6  ","130.6  ","141.9  ","143.5  ","154.8  ","167.3  "
"284","Pseudoeurycea saltator","175.8  ","176.9  ","178.0  ","178.0  ","179.1  ","180.3  "
"285","Pseudoeurycea smithi","124.5  ","129.8  ","135.0  ","135.0  ","140.3  ","145.6  "
"286","Pseudoeurycea tenchalli","166.1  ","170.5  ","173.3  ","173.3  ","176.0  ","180.5  "
"287","Pseudoeurycea unguidentis","145.6  ","145.6  ","145.6  ","145.6  ","145.6  ","145.6  "
"288","Pseudoeurycea werleri","164.6  ","183.4  ","189.8  ","183.7  ","190.1  ","190.6  "
"289","Pseudotriton montanus","102.9  ","131.0  ","138.1  ","141.3  ","152.1  ","185.9  "
"290","Pseudotriton ruber","109.9  ","132.6  ","145.9  ","151.7  ","169.4  ","203.0  "
"291","Stereochilus marginatus","108.4  ","131.0  ","135.8  ","135.3  ","139.6  ","155.0  "
"292","Thorius arboreus","162.3  ","166.5  ","173.7  ","171.7  ","175.7  ","180.3  "
"293","Thorius aureus","131.1  ","151.4  ","165.1  ","160.4  ","174.1  ","180.3  "
"294","Thorius boreas","131.1  ","131.1  ","131.1  ","131.1  ","131.1  ","131.1  "
"295","Thorius dubitus","136.5  ","136.5  ","136.5  ","136.5  ","136.5  ","136.5  "
"296","Thorius grandis","166.1  ","166.1  ","166.1  ","166.1  ","166.1  ","166.1  "
"297","Thorius lunaris","191.9  ","194.3  ","196.7  ","196.7  ","199.1  ","201.6  "
"298","Thorius macdougalli","149.5  ","150.9  ","172.0  ","165.9  ","175.4  ","181.8  "
"299","Thorius magnipes","109.7  ","123.3  ","132.1  ","133.8  ","142.7  ","161.2  "
"300","Thorius minutissimus","121.3  ","121.3  ","121.3  ","121.3  ","121.3  ","121.3  "
"301","Thorius minydemus","195.6  ","195.6  ","195.6  ","195.6  ","195.6  ","195.6  "
"302","Thorius munificus","195.6  ","195.6  ","195.6  ","195.6  ","195.6  ","195.6  "
"303","Thorius narisovalis","145.6  ","146.0  ","146.4  ","146.4  ","146.9  ","147.3  "
"304","Thorius omiltemi","149  ","149  ","149  ","149  ","149  ","149  "
"305","Thorius papaloae","112.6  ","112.6  ","112.6  ","112.6  ","112.6  ","112.6  "
"306","Thorius pennatulus","185.9  ","192.1  ","194.8  ","193.7  ","196.3  ","196.8  "
"307","Thorius pulmonaris","138.3  ","141.1  ","143.8  ","143.4  ","146.1  ","147.8  "
"308","Thorius schmidti","160.7  ","163.0  ","165.3  ","165.3  ","167.6  ","169.9  "
"309","Thorius spilogaster","166.5  ","174.0  ","184.2  ","183.8  ","194.0  ","200.2  "
"310","Thorius troglodytes","136.5  ","141.1  ","145.7  ","145.7  ","150.3  ","154.9  "
"311","Urspelerpes brucei","120.4  ","120.4  ","120.4  ","120.4  ","120.4  ","120.4  "
