"","binomial","CloudMin","Cloud1Q","CloudMed","CloudMea","Cloud3Q","CloudMax"
"46","Batrachoseps gregarius","56.95  ","62.78  ","65.39  ","65.40  ","68.23  ","75.06  "
"47","Batrachoseps incognitus","35.02  ","35.82  ","36.86  ","37.88  ","37.69  ","46.18  "
"48","Batrachoseps kawia","68.41  ","75.03  ","80.60  ","81.76  ","87.97  ","94.40  "
"49","Batrachoseps luciae"," 39.03  "," 41.70  "," 51.13  "," 59.39  "," 70.49  ","108.15  "
"50","Batrachoseps major","23.63  ","33.81  ","41.17  ","42.86  ","50.81  ","79.99  "
"51","Batrachoseps minor","34.14  ","35.82  ","37.88  ","39.09  ","41.29  ","47.77  "
"52","Batrachoseps nigriventris","31.01  ","36.23  ","40.27  ","43.26  ","47.57  ","92.83  "
"53","Batrachoseps pacificus","57.55  ","59.67  ","62.27  ","64.94  ","69.48  ","76.45  "
"54","Batrachoseps robustus","53.40  ","60.56  ","66.73  ","66.59  ","71.58  ","82.42  "
"55","Batrachoseps simatus","60.35  ","61.96  ","63.56  ","63.56  ","65.17  ","66.78  "
"56","Batrachoseps stebbinsi","58.49  ","61.86  ","65.24  ","63.64  ","66.21  ","67.18  "
"57","Batrachoseps wrighti","127.1  ","142.7  ","148.9  ","149.1  ","158.3  ","165.7  "
"58","Bolitoglossa adspersa","190.5  ","213.9  ","222.8  ","221.6  ","228.6  ","242.3  "
"59","Bolitoglossa alberchi","154.8  ","164.8  ","181.9  ","177.7  ","190.6  ","199.2  "
"60","Bolitoglossa alvaradoi","203.1  ","220.1  ","225.1  ","223.6  ","228.8  ","232.1  "
"61","Bolitoglossa biseriata","191.1  ","218.3  ","224.1  ","224.7  ","231.7  ","242.8  "
"62","Bolitoglossa bramei","229.6  ","232.4  ","233.5  ","233.3  ","234.4  ","236.6  "
"63","Bolitoglossa carri","190.3  ","190.3  ","190.3  ","190.3  ","190.3  ","190.3  "
"64","Bolitoglossa celaque","171.0  ","177.9  ","185.9  ","184.2  ","190.0  ","193.0  "
"65","Bolitoglossa cerroensis","213.5  ","221.9  ","231.4  ","228.3  ","235.7  ","237.4  "
"66","Bolitoglossa colonnea","200.5  ","213.3  ","220.3  ","219.5  ","226.8  ","236.3  "
"67","Bolitoglossa compacta","229.6  ","230.5  ","233.3  ","232.7  ","234.7  ","235.4  "
"68","Bolitoglossa conanti","164.8  ","179.9  ","187.9  ","183.0  ","191.0  ","191.5  "
"69","Bolitoglossa cuchumatana","125.2  ","187.7  ","192.6  ","190.0  ","197.9  ","205.7  "
"70","Bolitoglossa cuna","214.2  ","214.4  ","214.5  ","215.3  ","215.5  ","218.0  "
"71","Bolitoglossa decora","190.2  ","190.2  ","190.2  ","190.2  ","190.2  ","190.2  "
"72","Bolitoglossa diaphora","190.8  ","190.8  ","190.8  ","190.8  ","190.8  ","190.8  "
"73","Bolitoglossa dofleini","159.2  ","182.4  ","184.9  ","184.8  ","189.4  ","197.3  "
"74","Bolitoglossa engelhardti","186.3  ","197.8  ","207.0  ","205.0  ","213.2  ","218.0  "
"75","Bolitoglossa epimela","218.0  ","222.2  ","226.4  ","223.8  ","226.7  ","227.1  "
"76","Bolitoglossa equatoriana","208.3  ","216.3  ","218.0  ","218.4  ","219.9  ","240.6  "
"77","Bolitoglossa flavimembris","170.0  ","203.7  ","214.0  ","209.2  ","222.4  ","226.7  "
"78","Bolitoglossa flaviventris","191.7  ","200.7  ","206.4  ","207.7  ","213.0  ","224.3  "
"79","Bolitoglossa franklini","129.6  ","174.8  ","187.7  ","187.4  ","204.7  ","222.7  "
"80","Bolitoglossa gomezi","221.8  ","221.8  ","221.8  ","221.8  ","221.8  ","221.8  "
"81","Bolitoglossa gracilis","218  ","218  ","218  ","218  ","218  ","218  "
"82","Bolitoglossa hartwegi","134.3  ","172.7  ","179.6  ","177.9  ","183.8  ","204.2  "
"83","Bolitoglossa heiroreias","158.8  ","164.8  ","176.0  ","174.1  ","182.9  ","187.8  "
"84","Bolitoglossa helmrichi","166.3  ","189.5  ","196.0  ","196.4  ","204.2  ","211.7  "
"85","Bolitoglossa hermosa","163.4  ","166.2  ","171.8  ","173.8  ","179.4  ","188.1  "
"86","Bolitoglossa lincolni","155.6  ","168.8  ","172.7  ","172.9  ","175.8  ","191.5  "
"87","Bolitoglossa longissima","192.7  ","192.9  ","193.1  ","193.1  ","193.2  ","193.4  "
"88","Bolitoglossa macrinii","122.3  ","148.4  ","165.1  ","162.7  ","169.6  ","200.5  "
"89","Bolitoglossa marmorea","226.0  ","229.6  ","231.2  ","231.2  ","233.5  ","235.2  "
"90","Bolitoglossa medemi","227.6  ","228.7  ","230.1  ","231.1  ","232.5  ","238.2  "
"91","Bolitoglossa meliana","117.0  ","162.7  ","185.8  ","176.5  ","189.6  ","209.2  "
"92","Bolitoglossa mexicana","119.1  ","169.2  ","182.7  ","179.2  ","192.4  ","216.8  "
"93","Bolitoglossa minutula","225.3  ","229.6  ","231.5  ","231.3  ","233.4  ","236.6  "
"94","Bolitoglossa mombachoensis","132.1  ","139.0  ","145.8  ","145.8  ","152.6  ","159.5  "
"95","Bolitoglossa morio","113.8  ","148.7  ","166.5  ","164.9  ","178.1  ","225.8  "
"96","Bolitoglossa mulleri","158.0  ","180.2  ","199.6  ","193.5  ","207.5  ","211.7  "
"97","Bolitoglossa nigrescens","211.3  ","213.2  ","215.3  ","221.4  ","231.4  ","237.4  "
