"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"11","Eurycea longicauda melanopleura","129","246","289.5","293.6","322.8","615","9","14","15","14.49","15","19","11","12","12","12.05","12","15","27","31","33","32.56","33","41","749","872","882.5","894.8","918.5","1057","27","32","33","32.41","33","36","-13","-6","-4","-4.809","-4","1","34","36","37","37.17","38","41","12","19","19","18.96","20","24","-5","2","4","4.17","4","26","21","25","25","25.17","26","28","-5","2","4","3.076","4","9","622","1083","1129","1088","1156","1203","91","126","130","127.5","134.8","146","26","43","49","47.51","52","70","19","27","28","28.22","29","44","214","336","358","344.4","364","376","86","165","177","173.3","186","256","174","282","288","280.3","291","315","88","165","177","173.8","186","264"
"12","Oedipina nica","366","647","863","862.1","1050","1425","19","21","22","21.67","23","25","7","8","8","8.394","9","10","70","73","74","74","75","76","90","95","98","100.3","105","120","23","26","27","27.18","29","31","13","15","16","15.74","17","18","10","11","11","11.43","12","13","19","21","22","22.11","23","25","19","21","22","21.79","23","25","20","22","23","22.83","24","26","17","19","20","20.22","22","23","1464","1674","1751","1751","1825","2018","246","260","268","267.6","273.5","294","18","24","28","27.65","31","42","49","58","62","61.59","65","74","653","707","730","734.9","763.5","824","76","98","114","115.4","130","180","409","438.5","459","454.4","468.5","490","98","185.5","217","219.5","247","356"
"13","Plethodon chattahoochee","302","539","644","689.9","818","1423","9","12","13","12.86","14","15","11","13","13","13.26","14","15","36","39","40","39.65","40","42","678","720","734","732.8","744","803","24","28","30","29.26","30","32","-6","-5","-4","-4.156","-4","-3","30","33","34","33.45","34","36","2","5","5","5.691","6","22","12","15.5","18","17.17","19","20","17","21","22","21.68","23","24","0","3","4","3.635","4","5","1175","1551","1602","1625","1706","2019","117","166","171","171.4","179","206","65","97","107","106.1","114","141","10","12","13","12.78","14","16","336","453.5","467","466.3","485","549","234","330","348","351.6","373","453","318","370","385","392.1","414","485","293","422","434","435","453.5","516"
"14","Plethodon chlorobryonis","-14","16","34","69.12","79","1181","11","16","17","16.44","17","18","7","13","13","13.04","14","14","27","38","39","38.8","40","42","664","724","749","747","766","827","26","33","33","33.2","34","35","-5","-1","0","-0.42","1","5","26","33","34","33.65","35","36","3","25","25","22.86","26","27","9","12","13","13.19","14","20","19","25","26","25.47","26","27","2","6","7","7.015","8","10","1110","1190","1215","1249","1285","2082","109","129","140","144.1","155","211","59","71","74","75.77","78","153","8","17","21","20.76","25","35","306","366","389","399.3","428","564","208","233","242","249.3","253","476","288","357","384","389.1","423","519","255","279","285","295","299","526"
"15","Plethodon grobmani","0","29","46","54.51","76","221","16","19","19","19.58","20","23","8","13","13","12.98","13","14","35","42","44","44.23","46","53","437","578","634","613.4","662","783","32","34","34","33.98","34","35","-2","3","4","4.476","5","10","23","29","30","29.57","31","36","8","26","27","23.4","27","28","14","16","18","17.63","19","23","25","27","27","26.87","27","28","6","10","11","11.74","13","17","1107","1291","1353","1386","1479","1693","117","155","178","175.8","194","244","41","57","61","65.43","75","103","16","23","26","31.11","41","59","332","422","492","483.7","536","645","154","204","223","236.3","271","337","322","403","488","474.5","535","642","178","280","339","325.3","373","435"
"16","Plethodon mississippi","0","74","107","108.6","139","314","13","16","17","17.14","18","21","9","13","14","13.43","14","14","31","38","40","39.76","42","44","615","694","750","743","786","899","31","33","34","33.7","34","35","-6","-2","0","-0.08031","2","7","26","33","34","33.82","35","38","7","11","12","13.29","16","28","15","21","22","21.51","23","27","24","26","26","26.05","26","28","2","6","8","7.731","9","13","1203","1438","1472","1491","1545","1702","120","157","162","161.1","166","182","71","80","84","84.05","87","103","11","18","20","19.28","21","24","355","432","441","442","452","505","236","266","278","284.2","298","345","267","302","324","338.5","355","488","288","403","418","415.9","432","474"
"17","Plethodon ocmulgee","15","54","70","69.82","84","203","17","18","19","18.54","19","19","13","13","14","13.73","14","14","41","42","42","42.42","43","43","652","667.5","679","679.8","690.5","718","34","34","34","34.31","35","35","0","2","2","2.116","3","3","31","32","32","32.36","33","34","10","26","27","25.05","27","27","14","18","19","18.05","19","20","26","27","27","26.78","27","27","8","10","10","9.811","10","11","1097","1147","1167","1173","1203","1275","117","124.5","133","134.3","141.5","171","52","58","61","60.54","63","67","18","22","23","23.75","25","33","330","348","371","374.5","395","454","182","201","206","206.8","213","231","321","346","368","372.3","395","454","261","298","304","303","308.5","366"
"18","Plethodon variolatus","-3","10","15","25.19","29","304","15","18","18","18.26","19","19","10","12","13","12.77","13","14","36","40","41","40.77","42","42","647","665","674","675.7","683","786","32","34","34","33.94","34","35","-3","2","3","2.61","3","5","28","31","31","31.4","32","36","7","26","26","26.15","27","27","10","14","15","14.44","15","16","24","26","26","26.36","27","27","5","10","10","9.775","10","11","1196","1251","1273","1268","1286","1341","119","157","168","165.6","176","187","59","61","62","63.56","64","86","10","29","30","30.13","32","36","320","446","460","452.2","467","482","206","214","223","223.9","229","278","319","446","460","451.9","467","477","250","267","277","275.2","284","299"
"19","Batrachoseps regius","317","794.2","1537","1582","2241","3161","1","7","11","10.68","15","18","10","12","13","13.25","14","16","38","42","43","42.58","44","46","597","641.8","664","670.4","707","738","18","22","26.5","26.83","32","35","-13","-8","-3","-4.208","-1","1","26","29","31","31.08","33","35","-6","0","4","3.847","8","11","9","14","19","18.96","24","27","10","15","19","19.55","25","27","-6","0","4","3.415","8","9","426","634","694.5","700","771.5","957","83","122","134","134.4","147.2","184","1","1","3","4.068","6","13","67","80","84.5","82.5","86","88","234","321","357","360.6","395.8","495","6","10","15","17.7","23","48","6","20","28","30.55","39","65","214","316.2","350","351.9","389","495"
"20","Batrachoseps relictus","23","399","779","902.3","1286","2870","3","12","13","12.79","14","19","6","12","14","13.61","15","19","34","45","52","50.94","56","67","162","415.2","504","507.6","638.8","728","18","24","27","26.61","29","37","-10","-2","-1","-0.4957","2","8","12","23.25","29","27.09","31","37","-4","6","9","7.645","10","25","11","16","18","18.61","21","28","12","17","19","19.41","21","28","-4","6","8","7.222","9","13","154","448.2","574","606.8","753.5","1098","27","87","112.5","116","142","209","0","1","2","2.125","3","11","59","82","90","86.62","92","102","62","247.2","314","320.4","391","571","2","6","10","11.31","15","38","5","14","19","23.08","26","105","55","235.2","303","313","388","565"
