"","binomial","elevationMin","elevation1Q","elevationMed","elevationMea","elevation3Q","elevationMax","WC1Min","WC11Q","WC1Med","WC1Mea","WC13Q","WC1Max","WC2Min","WC21Q","WC2Med","WC2Mea","WC23Q","WC2Max","WC3Min","WC31Q","WC3Med","WC3Mea","WC33Q","WC3Max","WC4Min","WC41Q","WC4Med","WC4Mea","WC43Q","WC4Max","WC5Min","WC51Q","WC5Med","WC5Mea","WC53Q","WC5Max","WC6Min","WC61Q","WC6Med","WC6Mea","WC63Q","WC6Max","WC7Min","WC71Q","WC7Med","WC7Mea","WC73Q","WC7Max","WC8Min","WC81Q","WC8Med","WC8Mea","WC83Q","WC8Max","WC9Min","WC91Q","WC9Med","WC9Mea","WC93Q","WC9Max","WC10Min","WC101Q","WC10Med","WC10Mea","WC103Q","WC10Max","WC11Min","WC111Q","WC11Med","WC11Mea","WC113Q","WC11Max","WC12Min","WC121Q","WC12Med","WC12Mea","WC123Q","WC12Max","WC13Min","WC131Q","WC13Med","WC13Mea","WC133Q","WC13Max","WC14Min","WC141Q","WC14Med","WC14Mea","WC143Q","WC14Max","WC15Min","WC151Q","WC15Med","WC15Mea","WC153Q","WC15Max","WC16Min","WC161Q","WC16Med","WC16Mea","WC163Q","WC16Max","WC17Min","WC171Q","WC17Med","WC17Mea","WC173Q","WC17Max","WC18Min","WC181Q","WC18Med","WC18Mea","WC183Q","WC18Max","WC19Min","WC191Q","WC19Med","WC19Mea","WC193Q","WC19Max"
"65","Bolitoglossa cerroensis","1106","1997","2330","2306","2687","3055","9","11","13","13.57","16","21","9","9","10","9.622","10","11","84","85","85","85.16","85","86","49","53","57","56.49","60","64","15","17","19","19.27","22","27","4","6","8","7.838","10","15","10","11","11","11.3","12","12","10","12","13","13.65","16","20","9","11","13","13.32","15","21","10","12","14","14.24","16","21","8","11","13","12.84","15","20","2114","2271","2427","2476","2584","3395","352","389","410","420.3","443","527","9","19","23","25.81","29","65","55","68","72","69.86","74","76","959","1036","1084","1101","1147","1334","47","72","83","96.86","107","223","368","462","670","618","702","1001","93","290","328","336.8","385","581"
"66","Bolitoglossa colonnea","4","56.25","272","480.4","848.8","2711","11","22","25","23.8","26","27","7","8","8","8.439","9","10","74","77","80","79.59","82","86","47","64","69","68.87","76","82","16","28","30","29.28","31","33","6","16","20","18.66","21","23","9","10","11","10.63","11","12","11","22","25","23.67","26","27","11","22","25","24.21","27","27","12","23","26","24.69","27","28","10","21","24","22.95","25","26","2162","3056","3318","3310","3590","4149","294","364","422","424.1","475","643","8","97","122.5","112.1","141","186","20","29","34","37.32","39","74","829","1013","1125","1124","1235","1529","43","374","452","411.9","498","606","356","573","610","613.8","644","1037","151","791.2","921.5","898.7","1053","1312"
"67","Bolitoglossa compacta","1441","1812","1949","1989","2165","2513","12","14","15","15.16","16","18","8","9","9","9.04","9","10","82","83","83","83.52","84","85","52","57","59","59.32","62","67","18","19","21","20.68","22","24","7","9","10","9.76","11","13","10","11","11","10.84","11","12","12","14","15","15.12","16","18","12","14","15","15.04","16","19","13","15","16","15.72","17","19","12","13","14","14.44","16","18","2475","2702","3078","3113","3530","3889","360","464","481","473.2","498","537","18","39","79","87.56","137","164","27","35","49","49.92","64","72","1022","1137","1180","1182","1244","1340","67","139","324","316.2","477","554","470","693","795","781.8","867","1017","152","287","452","467.9","635","797"
"68","Bolitoglossa conanti","614","1185","1552","1428","1759","2011","16","17","19","19.35","21","24","8","9","9","9.118","9","10","63","67","70","68.71","70","73","118","127","139","135.3","145","148","22","24","26","25.76","27","30","10","11","12","12.65","14","16","12","12","13","13.12","14","14","17","18","20","20.18","22","25","15","17","19","19.06","21","23","18","19","21","20.88","22","25","15","16","17","17.53","19","22","1456","1567","1692","1651","1718","1810","248","256","265","269.5","280","297","16","21","29","28.76","36","41","51","53","69","66.29","78","82","649","662","699","710.9","757","812","62","80","104","108.8","137","150","411","442","469","465.7","493","517","93","121","162","190.2","261","353"
"69","Bolitoglossa cuchumatana","713","1424","1840","1779","2201","2822","11","15","17","17.42","19","23","10","11","12","11.62","12","13","70","75","76","75.94","77","79","114","132","137","136.5","141","157","19","22","24","24.73","27","30","3","7","9","9.406","11","16","13","15","15","15.31","16","18","13","16","18","18.44","21","24","10","14","16.5","16.79","19","23","13","17","19","18.88","21","24","9","13","15.5","15.61","18","21","1479","1922","2552","2724","3562","4752","270","328","410.5","441","551","840","24","44","66","73.84","103","143","48","60","65","64.33","70","77","677","862.5","1133","1188","1510","2122","79","141.2","222.5","237.1","330.2","449","488","557.5","673.5","700.4","832.5","1038","82","162","283","307.7","430.5","656"
"70","Bolitoglossa cuna","11","60.5","102","129.9","182.5","299","25","26","26","25.84","26","27","6","7","7","6.947","7","7","84","84","84","84.37","85","86","30","33","33","33.47","34.5","36","29","30","30","29.95","30","31","21","21","22","21.74","22","23","8","8","8","8.053","8","9","25","25","26","25.58","26","26","25","26","26","26","26","27","25","26","26","26.26","27","27","25","25","26","25.53","26","26","1799","2068","2349","2346","2626","2835","239","260.5","310","314.1","350.5","426","19","32","42","39.16","47.5","54","38","42","44","44.58","46.5","57","657","717","829","833.7","950.5","1037","75","182.5","202","212.7","245.5","367","337","368","391","381.5","399","412","432","571.5","730","716.8","857.5","997"
"71","Bolitoglossa decora","1603","1603","1603","1603","1603","1603","19","19","19","19","19","19","8","8","8","8","8","8","66","66","66","66","66","66","132","132","132","132","132","132","24","24","24","24","24","24","12","12","12","12","12","12","12","12","12","12","12","12","19","19","19","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","17","17","17","17","17","17","1471","1471","1471","1471","1471","1471","211","211","211","211","211","211","17","17","17","17","17","17","59","59","59","59","59","59","579","579","579","579","579","579","84","84","84","84","84","84","412","412","412","412","412","412","165","165","165","165","165","165"
"72","Bolitoglossa diaphora","1552","1603","1654","1654","1704","1755","18","18.25","18.5","18.5","18.75","19","8","8.25","8.5","8.5","8.75","9","63","63.25","63.5","63.5","63.75","64","145","145.8","146.5","146.5","147.2","148","24","24.5","25","25","25.5","26","11","11.25","11.5","11.5","11.75","12","13","13.25","13.5","13.5","13.75","14","19","19.25","19.5","19.5","19.75","20","18","18.25","18.5","18.5","18.75","19","20","20.25","20.5","20.5","20.75","21","16","16.25","16.5","16.5","16.75","17","1697","1704","1712","1712","1720","1727","252","253","254","254","255","256","36","36.5","37","37","37.5","38","53","53.25","53.5","53.5","53.75","54","649","652.2","655.5","655.5","658.8","662","135","135.8","136.5","136.5","137.2","138","450","451","452","452","453","454","238","241.8","245.5","245.5","249.2","253"
"73","Bolitoglossa dofleini","49","409","626.5","653.2","917.2","1755","18","22","23","23.38","25","27","8","9","9","9.164","9.75","10","62","64","66","66.4","68.75","73","129","138.2","145.5","149.8","163.8","183","24","29","30","30","31","34","11","15","16","16.22","18","19","12","13","14","13.76","14","16","19","23","25","24.47","26","27","18","22","23","23.1","25","26","20","24","25","24.86","26","28","16","20","21","21.35","23","24","1149","1879","2596","2584","3387","3783","177","299.5","441","431.4","538.8","703","22","44","62","64.64","87","115","51","55","59","60.45","65","78","458","803.5","1133","1133","1452","1751","88","147.2","218","218.9","288","353","328","472.8","708.5","681","839.8","1332","112","258.5","353","337.3","404.8","533"
"74","Bolitoglossa engelhardti","1263","1872","2147","2152","2438","3117","11","14","16","15.63","17","21","9","10","11","10.66","11","12","74","76","77","77.97","79","87","45","96","99","95.56","103.5","112","17","21","22","22.24","24","27","4","6.5","9","8.492","10","15","11","13","14","13.73","15","15","11","14.5","16","16.08","18","21","9","12.5","14","14.34","16","20","12","15","17","16.64","18.5","22","9","12.5","14","14.34","16","20","1501","1652","1948","2089","2313","3512","293","325.5","380","406.1","455.5","632","3","5","9","11.95","16.5","39","75","83","85","85.53","89","93","702","776","902","966.1","1072","1556","19","28.5","50","56.24","77","136","466","629","698","725.2","777","1181","19","28.5","50","58.31","79.5","183"
"75","Bolitoglossa epimela","656","808.5","1335","1362","1896","2250","14","16","19","19","22","23","9","9","9.5","9.5","10","10","80","80.25","84","82.71","84","85","58","59.25","61","62.93","67.75","69","19","22","25","24.79","28","29","8","10","13","13.29","17","18","11","11","11","11.43","12","12","13","16","19","18.79","22","23","13","16","19.5","19.14","22.75","23","14","17","19.5","19.71","23","24","13","15","18","18","21","22","3111","3229","3468","3520","3633","4217","340","348.8","409.5","407.5","459.8","500","97","115.5","132","135.4","152.8","179","26","28.5","31","32.07","33.75","47","981","1003","1157","1151","1272","1437","353","425.5","459.5","475.3","532.5","601","529","603.2","724","786","947.2","1140","686","808","866","869.3","924.8","1044"
"76","Bolitoglossa equatoriana","212","251.8","286.5","339.4","330","1696","18","25","25","24.59","25","25","8","8","8","8.472","9","10","77","79","80","80.85","82","89","31","45","49","48.53","53","58","23","30","30","29.7","30","31","13","19","19","19.11","20","20","10","10","11","10.52","11","11","18","24","24","24.22","25","25","18","25","25","24.98","26","26","18","25","25","25.09","26","26","18","24","24","23.75","24","25","3024","3365","3550","3569","3734","4322","331","358","385","389.3","408","497","161","203","220","217","233","263","16","18","19","19.73","21","31","961","1035","1096","1113","1158","1394","512","631","690","674.4","720","832","579","700.8","790.5","786.1","877","956","843","886","943.5","978.2","1042","1308"
"77","Bolitoglossa flavimembris","495","1004","1512","1575","2107","2953","12","16","19","18.95","22","25","9","11","11","10.87","11","12","74","77","82","81.53","86","88","43","55","79","77.27","99","112","18","23","25.5","25.38","28","32","4","9","12","11.98","16","19","11","13","13","13.38","14","15","12","16","20","19.2","22","25","10","15","18","17.92","21","25","12","17","20","19.76","23","26","10","15","18","17.9","21","24","1393","2079","2882","2800","3566","4060","275","403","553.5","519.1","631.2","717","3","9","23.5","21.3","31","42","74","78","80","81.48","85.75","93","651","966.2","1352","1281","1586","1868","20","57","95","91.19","127","163","434","691.5","887","897.9","1156","1275","20","57.25","97","99.05","131","290"
"78","Bolitoglossa flaviventris","78","353.5","495","610.7","798.5","1739","18","24","25","24.69","26","27","10","11","11","11.44","12","12","82","84","85","85.03","86","87","50","61.75","64","64.78","68","87","24","30.75","32","31.12","32","34","11","17","18","17.62","19","20","12","13","13","13.34","14","14","18","24","25","24.72","26","27","17","23","24","23.78","25","26","19","24","26","25.22","27","28","17","23","24","23.78","25","26","2311","2717","3065","3033","3329","3643","470","529.5","570.5","568.1","610.5","650","4","9.75","12.5","15.44","17.25","39","75","80.75","82.5","83.16","87","92","1185","1347","1452","1451","1560","1719","26","48.5","62","67.84","78","133","527","737.5","874.5","864","1002","1217","26","48.5","65","71.62","84","182"
"79","Bolitoglossa franklini","608","1477","1799","1821","2165","2953","12","15.25","18","17.76","20","25","9","11","11","11.4","12","13","74","76.25","78","79.42","82","87","45","88","102","99.88","115.8","141","18","23","25","24.67","27","31","4","8","10","10.31","13","17","11","14","14","14.36","15","17","12","16","18.5","18.36","20","25","10","14","17","16.52","19","23","12","17","19","18.81","21","25","10","14","16","16.45","19","23","1325","1546","1862","2014","2358","3512","272","309.2","377.5","399.3","471.8","626","1","5","7","9.851","11.75","39","75","86.25","91.5","90.34","95","102","651","759.5","957.5","997.4","1218","1556","11","24","32","42.06","44.75","136","438","542","628","659.9","725.2","1181","11","24","32","44.23","52.5","183"
"80","Bolitoglossa gomezi","537","1073","1172","1233","1440","1946","16","19.25","20.5","20.17","21","24","10","10","10","10","10","10","82","82.25","83","83","83","85","55","65.75","69","66.5","70","71","22","25.25","26.5","26.33","27.75","30","10","13.25","14.5","14.17","15","18","11","12","12","11.83","12","12","16","18.5","20.5","19.83","21","23","16","18.5","20.5","20","21","24","16","19.5","21.5","20.83","22","25","15","18.25","19.5","19.17","20","23","2586","2956","3044","2998","3129","3228","505","509","526","531.2","537","586","29","31.75","39","39.67","47","52","53","60.75","64","63.83","69.5","71","1165","1234","1244","1260","1289","1372","117","129.2","144.5","153.2","168","213","576","591.2","601.5","620.8","611.8","743","175","546.5","947","779.8","1036","1132"
"81","Bolitoglossa gracilis","1290","1358","1489","1542","1674","1902","16","17.5","18.5","18","19","19","10","10","10","10","10","10","84","84","84","84.25","84.25","85","59","60.5","61","60.5","61","61","22","23.5","24.5","24","25","25","10","11.5","12.5","12","13","13","12","12","12","12","12","12","16","16.75","18","17.75","19","19","16","17.5","18.5","18.25","19.25","20","17","17.75","18.5","18.5","19.25","20","15","16.5","17.5","17","18","18","3373","3559","3716","3743","3900","4165","403","412.8","423.5","433.8","444.5","485","132","150.8","157","155.2","161.5","175","27","27.75","29","29.5","30.75","33","1146","1162","1174","1217","1228","1375","455","523.2","550.5","538.2","565.5","597","654","759","857","853.5","951.5","1046","924","930","981.5","982.8","1034","1044"
"82","Bolitoglossa hartwegi","1499","1923","2248","2217","2420","3427","8","14","15","15.33","17","20","10","12","12","12.09","13","13","71","74","75","74.9","76","78","126","136","145","143.8","151","169","17","22","23","22.96","25","27","-1","5","7","6.852","9","11","14","15","16","16.12","17","18","10","15","16","16.42","18","21","6","12","14","13.8","16","19","10","15","17","16.82","19","21","6","12","13","13.31","15","18","1022","1153","1467","1539","1743","3925","221","237","273","284.6","302","679","3","12","21","26.14","37","114","61","72","80","78.79","86","93","499","562","685","718.5","796","1764","21","47","70","88.14","118","363","379","412","493","498.1","532","900","21","47","73","97.21","129","503"
"83","Bolitoglossa heiroreias","1474","1679","1813","1770","1904","1978","16","16.75","17.5","17.5","18.25","19","9","9","9","9","9","9","71","71","72.5","72.5","74","74","113","113.8","117","117.2","120.5","122","22","22.75","23.5","23.5","24.25","25","11","11","11","11.25","11.25","12","12","12","12","12.25","12.25","13","17","17.75","18","18","18.25","19","15","15.75","16.5","16.25","17","17","18","18","18.5","18.75","19.25","20","15","15","15.5","15.75","16.25","17","1489","1575","1612","1594","1630","1662","284","291.5","297.5","295.2","301.2","302","9","13.5","18.5","17.5","22.5","24","80","81.5","85","85.25","88.75","91","767","788.8","801.5","797.2","810","819","38","50","64.5","63","77.5","85","485","502.2","514.5","509.5","521.8","524","54","57.75","78","78.75","99","105"
"84","Bolitoglossa helmrichi","32","686.8","1238","1161","1605","2509","13","19","20.5","20.83","23","28","8","9","10","9.586","10","11","63","69","73","71.44","74","76","107","129","133","132.7","137","149","19","25","27","27.26","30","34","7","11","14","13.85","17","20","12","13","13","13.45","14","16","14","19","21","21.7","24","28","12","18","20","20.51","23","27","14","20","22","22.23","25","29","11","17","19","19.01","21","26","1661","2298","2690","2766","3208","4353","262","345","435.5","453.8","556.2","703","37","57.75","76.5","79.7","94","153","41","54","60","60.43","67","79","668","961.2","1189","1204","1442","1759","125","196","250","259.6","300","535","308","587.8","651.5","731.2","800.5","1470","125","250.8","317.5","327.7","374.2","747"
"85","Bolitoglossa hermosa","371","765.5","1197","1237","1499","2601","17","22.5","23","22.93","24.5","26","10","11","12","11.53","12","12","80","81","81","81.6","82.5","84","72","84.5","91","90.67","98","109","23","29.5","30","29.67","31","32","10","14","15","15.53","17.5","19","13","13.5","14","14.07","15","15","17","22.5","23","23.13","24.5","26","17","22","23","22.8","24.5","26","18","23.5","24","23.93","25.5","27","16","20.5","22","21.67","23.5","25","1318","1392","1411","1430","1470","1516","300","310.5","322","322.6","337","345","3","4","4","4.733","5","9","99","103.5","104","105.5","108","115","823","839","863","862.9","879","910","11","16.5","20","20","22","36","295","302.5","321","322.9","342","357","21","34","42","40.07","43.5","58"
"86","Bolitoglossa lincolni","1680","2044","2250","2302","2431","3295","9","14","16","15.21","17","18","10","12","12","12.15","13","13","71","72.75","74","74.29","76","79","91","139.8","146.5","144.4","155.2","169","17","22","24","22.92","25","26","0","5","7","6.597","8","10","13","16","17","16.38","17","18","10","15.75","17","16.38","18","19","7","12","14","13.39","15","17","10","16","17","16.67","19","20","7","12","14","13.18","15","16","1022","1072","1183","1244","1360","2173","221","228","237","247.7","269","352","3","6","10","12.32","16.25","55","65","82","86","85.11","90","93","499","526.5","563.5","589.8","643.8","962","21","28","42","47.03","58.25","177","381","401","462.5","469","525","706","21","28","42","49.61","58.5","283"
"87","Bolitoglossa longissima","1622","1622","1622","1622","1622","1622","18","18","18","18","18","18","8","8","8","8","8","8","67","67","67","67","67","67","132","132","132","132","132","132","24","24","24","24","24","24","12","12","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","18","18","20","20","20","20","20","20","16","16","16","16","16","16","1676","1676","1676","1676","1676","1676","235","235","235","235","235","235","17","17","17","17","17","17","59","59","59","59","59","59","640","640","640","640","640","640","85","85","85","85","85","85","438","438","438","438","438","438","200","200","200","200","200","200"
"88","Bolitoglossa macrinii","35","474.5","872","983.3","1378","2629","16","21","23","22.5","24","26","9","11","11","11.29","12","13","74","78","81","79.9","82","84","61","81","89","89.73","98","120","22","27","30","29.25","32","33","8","14","15","15.14","17","20","12","14","14","14.14","15","16","16","22","23","22.94","25","27","15","20","22","21.32","23","25","17","22","24","23.49","25","27","15","20","22","21.29","23","25","801","1068","1260","1263","1419","1919","196","234","262.5","266.5","287.8","385","2","4","5","5.781","7","14","89","95.25","101","100.9","105","116","510","620","701","709.2","785","1003","10","16","24","24.72","30","60","210","339","395.5","415.5","474.5","770","10","16","24","26.08","33","69"
"89","Bolitoglossa marmorea","747","1500","1934","1829","2144","2711","11","14","16","16.27","18","23","8","9","9","9.182","9","10","82","83","83","83.64","85","86","51","55","59","59.67","65","68","16","20","22","21.97","24","29","6","9","10","10.88","13","18","10","11","11","11.03","11","12","11","14","16","16.15","18","22","11","14","16","16.12","18","23","12","15","16","17","19","24","10","14","15","15.58","18","22","2475","2685","2884","2911","3079","3776","418","463","481","487.2","515","586","18","28","38","49.18","55","155","33","58","66","61.67","69","72","1022","1151","1204","1209","1263","1372","67","115","139","179","199","541","426","564","665","692.2","842","984","151","250","401","383","453","854"
"90","Bolitoglossa medemi","24","41.25","69.5","97.07","110","365","25","27","27","26.85","27","28","7","9","10","9.462","10","10","80","91","92","91.3","92","93","24","26","27","28.72","29","59","29","32","32","32.02","32","33","20","22","22","21.77","22","22","8","10","10","10.12","10","11","24","26","27","26.75","27","28","25","27","27","27.05","27","28","26","27","27","27.17","28","28","24","26","27","26.52","27","27","2669","6128","6496","6292","6822","7137","362","608.5","640","649.8","718.8","802","8","392","408.5","383.5","421.8","452","9","12","14","16.11","15","67","1014","1687","1768","1774","1907","2075","52","1319","1379","1299","1417","1485","147","1432","1520","1446","1586","1704","736","1616","1728","1688","1822","1938"
"91","Bolitoglossa meliana","351","1012","1558","1497","2013","2509","13","16","19","19.05","22","26","8","9","9","9.252","10","11","64","69","73","71.57","74","77","108","122","127","127.3","134","143","19","23","25","25.27","28","32","7","10","12","12.39","15","19","11","12","13","12.94","13","15","14","17","20","19.93","23","26","12","16","18","18.51","21","25","14","17.5","20","20.37","23","27","11","15","17","17.29","20","24","1410","1780","1893","1962","2128","2913","262","290","328","331.8","361","473","16","36.5","46","43.83","50","72","51","61","68","68.2","76","88","668","772","884","898.8","998","1328","53","124","157","148.8","169","250","407","504.5","538","545.4","582","718","96","172","192","193.7","224","284"
"92","Bolitoglossa mexicana","1","172","408","529.3","799","2519","14","23","25","23.99","26","27","6","9","10","9.721","10","13","57","64","67","66.83","69","77","111","142","154","156.3","171","220","21","30","32","31.06","33","35","5","15","17","16.46","18","22","10","14","14","14.6","16","18","15","23","25","24.76","27","28","11","22","24","23.75","26","29","15","24","26","25.62","27","29","11","21","22","21.85","24","25","785","1432","1944","2071","2568","4752","139","227","298","327.9","406","840","3","28","48","49.04","65","159","37","52","58","58.55","65","106","337","605","795","868.3","1053","2122","13","109","168","174.6","226","542","184","384","476","511.7","605.2","1542","13","176","277","301.2","400","911"
"93","Bolitoglossa minutula","916","1506","1905","1917","2288","3041","9","13","16","15.59","18","21","8","9","9","9.028","9","10","82","83","84","83.66","84","85","49","55","59","58.44","61","67","14","18.5","21","21.1","24","27","4","8","10","10.28","13","16","10","10","11","10.86","11","12","9","13.5","16","15.54","18","21","8","13","15","15.42","18","22","10","14","16","16.28","19","22","8","13","15","14.85","17","21","2313","2688","2968","3011","3282","3889","353","452.5","489","484.6","525","614","14","28","39","54","69.5","164","27","44","63","57.21","68","72","950","1134","1204","1200","1264","1434","67","109.5","155","224.2","345","541","416","584.5","743","724.3","850.5","1017","139","230","429","447.4","565","1047"
"94","Bolitoglossa mombachoensis","41","45","49","49","53","57","27","27","27","27","27","27","7","7","7","7","7","7","75","75","75","75","75","75","74","74.75","75.5","75.5","76.25","77","31","31","31","31","31","31","22","22","22","22","22","22","9","9","9","9","9","9","27","27","27","27","27","27","26","26","26","26","26","26","28","28","28","28","28","28","26","26","26","26","26","26","1510","1518","1526","1526","1533","1541","340","340.2","340.5","340.5","340.8","341","2","2.25","2.5","2.5","2.75","3","98","98.25","98.5","98.5","98.75","99","836","839","842","842","845","848","11","12.25","13.5","13.5","14.75","16","204","208.5","213","213","217.5","222","75","76.5","78","78","79.5","81"
"95","Bolitoglossa morio","343","1212","1624","1676","2108","3295","9","16","18","18.27","21","26","8","10","10","10.32","11","12","71","76","77","77.55","79","88","45","88","104","97.88","110","140","17","22","25","24.61","27","32","0","8","11","11.3","15","20","11","12","13","13.33","14","16","10","16","19","18.75","21.75","26","7","15","17","17.32","20","25","10","17","19","19.34","22","27","7","14","17","16.95","20","25","986","1399","1551","1766","1909","4060","208","285.2","305","345","356","734","0","4","7","12.23","16","73","64","83","89","87.75","94","103","530","697.2","757","848.8","894.8","1868","3","21","32","50.04","63","245","115","370.8","498","500.2","587.8","1279","10","37","56","78.77","104","376"
"96","Bolitoglossa mulleri","168","389","1333","1048","1450","2092","16","19","20","21.32","25","26","9","10","10","10.32","11","11","65","67.25","73.5","71.23","74","75","124","132.2","135","137.4","143.8","157","22","26","27","28.27","32","34","10","11","12","13.97","18","19","13","14","15","14.5","15","16","17","20","20.5","22.19","26","27","16","19","19","21.21","25","26","18","21","21","22.98","26.75","28","14","17","18","19.5","23","24","2042","2525","2764","3147","3858","4508","299","355.5","410","454.2","545","762","59","83","99","98.9","110.8","142","41","49.25","52","51.69","54","64","827","985.2","1112","1250","1552","1962","190","271.2","315.5","329.3","387.2","482","531","610.8","648.5","706","798.8","998","281","321.2","392.5","449.3","582.5","712"
"97","Bolitoglossa nigrescens","1106","1670","2060","2117","2576","3055","9","12","15","14.79","17.25","21","9","9","10","9.812","10","11","84","85","85","84.98","85","86","49","54","58","57.62","61","64","15","17","21","20.6","24","27","4","6","9","8.958","11.25","15","10","11","12","11.5","12","12","10","12","15","14.83","17.25","20","9","11.75","15","14.6","17.25","21","10","12.75","15.5","15.5","18","21","8","11","14","13.98","17","20","2089","2239","2330","2428","2550","3395","319","378","403.5","409.4","425.8","527","9","20","22.5","25.4","29.25","65","55","67","70","69.85","74","76","859","1022","1066","1078","1137","1334","47","73","82","96","107.5","223","368","417.2","600.5","570.1","685","1001","93","285.8","315.5","330.1","383.2","581"
"98","Bolitoglossa oaxacensis","968","1459","1639","1665","1888","2355","17","19","20","19.98","21","23","10","11","12","11.94","12","14","74","75","77","76.41","77","79","94","112","115.5","115.6","120.2","131","23","26","28","27.24","29","30","9","10","11","11.59","13","15","13","15","15","15.7","17","19","17","19","21","20.49","22","23","16","18","19","18.56","19","21","18","20","21","21.22","22","24","15","17","19","18.39","19","21","794","905.5","1064","1089","1172","1581","174","196","228","231.2","242.5","324","3","4","5","4.712","5","8","92","95","95","95.68","96.25","102","440","506.8","586.5","599.9","633.2","868","15","20","22","21.9","24","34","294","332.8","378","381.2","411.2","525","20","25","29","29.3","33","46"
"99","Bolitoglossa occidentalis","126","679","901.5","956.4","1166","2550","13","22","23","22.79","24","28","9","11","12","11.48","12","13","69","74","77","78.45","83","88","43","80","118","111.6","144","174","19","29","30","29.93","32","35","7","14","15","15.22","16","21","11","14","14","14.71","16","18","14","22","24","23.36","25","28","12","20","22","21.41","23","26","14","23","24","23.97","26","29","12","20","21.5","21.24","23","26","605","945.2","1342","1804","2503","4060","122","199","290","357.5","511.5","734","0","2","5","9.941","16","42","68","84","100","95.88","106","113","335","555","768","939","1333","1868","1","12","21","42.44","61","163","184","294.2","405.5","544.7","722.8","1279","1","12","21","47.81","71.75","290"
"100","Bolitoglossa orestes","2080","2508","2554","2565","2745","3040","11","13","14","13.92","14","17","9","9","10","9.692","10","11","84","85","86","86","87","89","42","46","49","49.38","52","56","18","18","19","19.46","20","22","5","7","8","8.077","9","11","11","11","11","11.15","11","12","12","13","14","14.23","15","17","11","12","13","13.15","14","16","12","13","14","14.23","15","17","11","12","13","13.15","14","16","947","1000","1072","1062","1115","1170","124","135","147","147.5","155","174","10","15","22","19.31","23","27","51","53","54","54.15","56","57","357","371","391","394.1","404","467","52","64","72","73.46","85","94","306","361","371","373.5","399","427","52","64","72","74.31","85","94"
"101","Bolitoglossa palmata","610","1862","2319","2339","2852","3773","6","12","15","14.66","17","24","9","10","10","10.43","11","12","80","84","87","86.93","90","93","23","34","37","39.66","45","64","12","18","21","20.56","23","30","0","5.5","9","8.491","11","17","10","11","12","11.99","13","14","6","12","15","14.42","17","23","7","12","15","14.82","17","24","7","12","15","15.01","17.5","24","6","11","15","14.12","17","23","1088","1315","1686","1759","2086","3185","114","157","213","211.4","251","401","45","74","88","92.44","108","186","13","21","25","25.46","29","41","314","428","585","583.8","704","1122","161","248.5","287","304.6","358","575","196","290.5","346","357.7","418","622","242","406","551","551.2","657","1075"
"102","Bolitoglossa paraensis","7","23","34","36.85","46","191","26","26","26","26.1","26","27","7","9","10","9.498","10","11","80","85","85","85.02","86","87","40","45","47","47.45","50","61","31","32","32","31.88","32","33","20","20","21","20.73","21","23","8","11","12","11.2","12","13","25","26","26","25.99","26","26","26","27","27","26.96","27","27","26","27","27","27","27","27","25","26","26","25.99","26","26","2155","2261","2400","2436","2580","2912","335","438","462","463.9","490","548","9","19","26","29.82","36","95","49","72","74","73.97","77","83","956","1117","1200","1211","1292","1493","43","80","105","113.3","136.2","312","60","106","126","144.6","163","410","658","1104","1192","1177","1292","1493"
"103","Bolitoglossa peruviana","175","238","277","370.7","364","2741","14","24","25","24.76","26","27","8","9","9","9.254","10","12","78","81","83","83.62","86","93","23","42","47","45.82","50","61","20","30","30","30.14","31","32","8","19","19","19.04","20","21","9","11","11","10.99","11","14","14","24","25","24.49","25","27","14","25","25","25.05","26","26","15","25","26","25.24","26","27","14","24","24","24.09","25","26","1112","2844","3292","3198","3586","4411","133","300","360","347.9","392","507","54","181","202","198.9","227","285","12","16","18","17.95","19","40","350","850","1007","974.2","1101","1382","176","589","645","631.1","704","891","300","621","686","707.9","814","1024","176","735","898","860.3","998","1283"
"104","Bolitoglossa pesrubra","2139","2546","2698","2736","2924","3456","7","10","11","10.84","12","14","9","9","9","9.054","9","10","84","85","85","85.24","86","88","48","51","53","54.59","58","64","13","15","16","16.08","17","20","1","4","5","5.297","6","9","10","10","11","10.7","11","12","7","10","11","10.97","12","14","6","9","10","10.3","11","14","8","10","11","11.3","12","15","6","9","10","10.05","11","14","2069","2289","2503","2548","2670","3562","352","379","411","409.9","433","494","9","21","27","33.32","41","97","47","62","67","65.54","72","77","921","1020","1061","1077","1144","1275","47","76","105","129.1","171","353","377","669","712","732.3","794","1042","93","202","327","327.6","415","686"
"105","Bolitoglossa platydactyla","3","61","146","328.5","490.5","2364","13","23","25","23.98","26","26","8","10","10","10.46","11","14","51","55","58","58.52","61","75","129","224","236","242.8","246","383","20","31","34","32.6","34","36","6","13","16","14.68","16","17","13","17","18","17.91","19","22","14","25","26","25.53","27","28","12","20","24","22.57","25","27","15","25","27","26.53","28","29","11","19","22","20.59","22","23","772","1483","1783","1889","2204","3687","139","287","332","362.6","430","767","7","22","37","37.63","51","88","47","67","78","78.12","88","112","386","742","885","967","1158","1966","27","79","124","128.8","169","317","208","364","468","494.2","591.8","1067","31","120.2","160","181","213","578"
