alt_names
Desmognathus conanti
Desmognathus fuscus conanti
Desmognathus fuscus  
Desmognathus wrighti
Speleomantes ambrosii
Speleomantes italicus
Speleomantes strinatii
Speleomantes genei
Speleomantes flavus
Speleomantes supramontis
Speleomanes imperialis
Plethodon glutinosus
Plethodon teyahalee
Plethodon yonahlossee
Bolitoglossa orestes
Eladinea chucantiensis
Bolitoglossa taylori
Bolitoglossa medemi
Eladinea kamuk
Bolitoglossa pesrubra
Magnadigita eremia
Magnadigita pacaya
Bolitoglossa morio
Magnadigita kaqchikelorum
Thorius schmidti
Oedipina kasios
Batrachoseps relictus
Eurycea longicauda
Eurycea quadridigitata
Eurycea tyherensis
Eurycea multiplicata
