"D","I"
0.315328198475639,0.575312331035507
0.854526784184249,0.981465298226041
0.8471600210824,0.978094883504103
0.871945485272954,0.986385148698712
0.850886442227369,0.980792728839949
0.865190991313512,0.985017620621417
0.836903110982404,0.976022570921474
0.849654753451382,0.981969193770694
0.851552286897132,0.981090606064951
0.845868233199733,0.980310795016896
0.855430192602074,0.982644697158441
0.870973490626927,0.983293601024523
0.871805072792953,0.986063939541416
0.868916780301122,0.982808933985291
0.847332662005224,0.980615599584879
0.849344590620659,0.979564489552496
0.841507957774191,0.978394697943038
0.833304646117645,0.97847777184027
0.829277316748552,0.973031967719125
0.880872455792485,0.98531164059344
0.868975083250573,0.984206441512323
0.872884608217,0.984166760707273
0.823437079757099,0.972062025131543
0.870006350609315,0.986038071548196
0.838949379965345,0.979234463674211
0.875901377299012,0.986249885434105
0.839507522028303,0.980200904437424
0.864556752486206,0.983705658539701
0.844796165462992,0.978231247595654
0.859725657434407,0.983225709088819
0.891254488794312,0.988531814123047
0.871951693301594,0.985365445049978
0.834212474734688,0.977613295941951
0.864814256122819,0.985787698744271
0.870206308417384,0.985413810543292
0.856385300000136,0.978925303378617
0.885708282005064,0.985487394461073
0.837145053657637,0.978368200606417
0.849258067895553,0.979294065902463
0.864567062670037,0.98486873704398
0.855683634472834,0.975699337520515
0.841025266671131,0.978497317779005
0.886342140192395,0.988619696518014
0.841600422439195,0.976666387708602
0.862449413313554,0.981996347319917
0.835842482960799,0.978512834471201
0.888545188064348,0.986833540532412
0.836872096849714,0.977495369642439
0.877841851932932,0.987750328347787
0.850039400964597,0.980976784761853
0.870865703889176,0.985378401541003
0.850372722215688,0.978059215175697
0.861231162411441,0.98329460351129
0.881909710313009,0.985639518861211
0.83733635782058,0.9775274616127
0.876876914914745,0.986191191405429
0.860191969644108,0.981946995512337
0.859200161549228,0.982189566537814
0.838034842117629,0.976050869157169
0.858515977319239,0.983433915019235
0.861584352041332,0.981687877559585
0.837925900290707,0.978914899253606
0.852578586927596,0.982069377360474
0.856192272803036,0.983599585841943
0.874799229377074,0.984739956184709
0.854773812589734,0.983242263278781
0.887603842703315,0.98889033875286
0.865799602209869,0.985380019898233
0.837904584539122,0.975293846736326
0.870600005794615,0.982712428407437
0.903328916048996,0.990746901725794
0.86438898015469,0.985113328519066
0.865343614570568,0.984453594434222
0.86594146774268,0.984712349751171
0.861709853078143,0.98132836276806
0.881426657520434,0.988099572353877
0.876846056485969,0.985937358362058
0.853311038804908,0.981052708885852
0.866181908263386,0.982763943410788
0.861681407407855,0.983761712684949
0.83631363370889,0.978962367460816
0.88884256573557,0.989288948889542
0.863952380280404,0.98407810946436
0.867944720977854,0.985626932669356
0.845988091826185,0.977683478763415
0.831511476770824,0.974319866406561
0.848964896433335,0.980331933372698
0.82529928834753,0.973462852239003
0.872851787651963,0.984803432764187
0.850560976911729,0.977857514489399
0.875391680740655,0.985215866474496
0.870172155927675,0.984562210868533
0.873559731758607,0.983271870774008
0.860135488281133,0.982413378493784
0.868481803506674,0.985970118564426
0.852651766903772,0.980867796914139
0.833732897030889,0.975955877533956
0.845315606330803,0.979526878063698
0.879422289491645,0.985544902806257
0.848209295647136,0.977086609241369
0.819000353055973,0.971178939068132
