$method
[1] "niche identity test"

$null
[1] "niche models are identical"

$statistic
        D         I 
0.3153282 0.5753123 

$p.value
D I 
1 1 

$null.distribution
               D         I
  [1,] 0.8545268 0.9814653
  [2,] 0.8471600 0.9780949
  [3,] 0.8719455 0.9863851
  [4,] 0.8508864 0.9807927
  [5,] 0.8651910 0.9850176
  [6,] 0.8369031 0.9760226
  [7,] 0.8496548 0.9819692
  [8,] 0.8515523 0.9810906
  [9,] 0.8458682 0.9803108
 [10,] 0.8554302 0.9826447
 [11,] 0.8709735 0.9832936
 [12,] 0.8718051 0.9860639
 [13,] 0.8689168 0.9828089
 [14,] 0.8473327 0.9806156
 [15,] 0.8493446 0.9795645
 [16,] 0.8415080 0.9783947
 [17,] 0.8333046 0.9784778
 [18,] 0.8292773 0.9730320
 [19,] 0.8808725 0.9853116
 [20,] 0.8689751 0.9842064
 [21,] 0.8728846 0.9841668
 [22,] 0.8234371 0.9720620
 [23,] 0.8700064 0.9860381
 [24,] 0.8389494 0.9792345
 [25,] 0.8759014 0.9862499
 [26,] 0.8395075 0.9802009
 [27,] 0.8645568 0.9837057
 [28,] 0.8447962 0.9782312
 [29,] 0.8597257 0.9832257
 [30,] 0.8912545 0.9885318
 [31,] 0.8719517 0.9853654
 [32,] 0.8342125 0.9776133
 [33,] 0.8648143 0.9857877
 [34,] 0.8702063 0.9854138
 [35,] 0.8563853 0.9789253
 [36,] 0.8857083 0.9854874
 [37,] 0.8371451 0.9783682
 [38,] 0.8492581 0.9792941
 [39,] 0.8645671 0.9848687
 [40,] 0.8556836 0.9756993
 [41,] 0.8410253 0.9784973
 [42,] 0.8863421 0.9886197
 [43,] 0.8416004 0.9766664
 [44,] 0.8624494 0.9819963
 [45,] 0.8358425 0.9785128
 [46,] 0.8885452 0.9868335
 [47,] 0.8368721 0.9774954
 [48,] 0.8778419 0.9877503
 [49,] 0.8500394 0.9809768
 [50,] 0.8708657 0.9853784
 [51,] 0.8503727 0.9780592
 [52,] 0.8612312 0.9832946
 [53,] 0.8819097 0.9856395
 [54,] 0.8373364 0.9775275
 [55,] 0.8768769 0.9861912
 [56,] 0.8601920 0.9819470
 [57,] 0.8592002 0.9821896
 [58,] 0.8380348 0.9760509
 [59,] 0.8585160 0.9834339
 [60,] 0.8615844 0.9816879
 [61,] 0.8379259 0.9789149
 [62,] 0.8525786 0.9820694
 [63,] 0.8561923 0.9835996
 [64,] 0.8747992 0.9847400
 [65,] 0.8547738 0.9832423
 [66,] 0.8876038 0.9888903
 [67,] 0.8657996 0.9853800
 [68,] 0.8379046 0.9752938
 [69,] 0.8706000 0.9827124
 [70,] 0.9033289 0.9907469
 [71,] 0.8643890 0.9851133
 [72,] 0.8653436 0.9844536
 [73,] 0.8659415 0.9847123
 [74,] 0.8617099 0.9813284
 [75,] 0.8814267 0.9880996
 [76,] 0.8768461 0.9859374
 [77,] 0.8533110 0.9810527
 [78,] 0.8661819 0.9827639
 [79,] 0.8616814 0.9837617
 [80,] 0.8363136 0.9789624
 [81,] 0.8888426 0.9892889
 [82,] 0.8639524 0.9840781
 [83,] 0.8679447 0.9856269
 [84,] 0.8459881 0.9776835
 [85,] 0.8315115 0.9743199
 [86,] 0.8489649 0.9803319
 [87,] 0.8252993 0.9734629
 [88,] 0.8728518 0.9848034
 [89,] 0.8505610 0.9778575
 [90,] 0.8753917 0.9852159
 [91,] 0.8701722 0.9845622
 [92,] 0.8735597 0.9832719
 [93,] 0.8601355 0.9824134
 [94,] 0.8684818 0.9859701
 [95,] 0.8526518 0.9808678
 [96,] 0.8337329 0.9759559
 [97,] 0.8453156 0.9795269
 [98,] 0.8794223 0.9855449
 [99,] 0.8482093 0.9770866
[100,] 0.8190004 0.9711789

attr(,"class")
[1] "ntest"
