x,y,species median
1.0,1.0,0.1678718
2.0,2.0,0.012242094
3.0,3.0,3.7731693E-4
4.0,4.0,0.17548275
5.0,5.0,9.14107E-5
6.0,6.0,1.9950607E-4
7.0,7.0,0.3795173
8.0,8.0,0.25016412
9.0,9.0,4.925678E-4
10.0,10.0,0.1689877
11.0,11.0,2.6756908E-8
12.0,12.0,0.0025471158
13.0,13.0,0.45066476
14.0,14.0,0.05826123
15.0,15.0,2.9115812E-5
16.0,16.0,0.020036947
17.0,17.0,0.010530675
18.0,18.0,0.013345982
19.0,19.0,0.0049132616
20.0,20.0,3.0426452E-5
21.0,21.0,0.24110842
22.0,22.0,0.36375716
23.0,23.0,0.13617462
24.0,24.0,0.0038143704
25.0,25.0,0.0085239615
26.0,26.0,0.5694493
27.0,27.0,0.20745793
28.0,28.0,0.34637317
29.0,29.0,7.2997145E-6
30.0,30.0,2.2395024E-9
31.0,31.0,0.9378795
32.0,32.0,0.43086535
33.0,33.0,1.6107753E-8
34.0,34.0,0.09876627
35.0,35.0,0.016359
36.0,36.0,4.21129E-5
37.0,37.0,0.10796945
38.0,38.0,0.00127316
39.0,39.0,0.1876621
40.0,40.0,0.105576985
41.0,41.0,6.932E-4
42.0,42.0,0.037780557
43.0,43.0,0.0014743442
44.0,44.0,1.3926487E-7
45.0,45.0,0.12395616
46.0,46.0,0.0677194
47.0,47.0,0.010012221
48.0,48.0,0.020439884
49.0,49.0,0.106248364
50.0,50.0,0.47379348
51.0,51.0,5.8829355E-5
52.0,52.0,0.15731299
53.0,53.0,1.5391345E-4
54.0,54.0,0.00168288
55.0,55.0,0.0672717
56.0,56.0,3.3941453E-7
57.0,57.0,0.014742909
58.0,58.0,9.567635E-6
59.0,59.0,4.2848958E-4
60.0,60.0,0.55270475
61.0,61.0,0.0017504133
62.0,62.0,0.029285908
63.0,63.0,0.032161962
64.0,64.0,0.03365624
65.0,65.0,3.0237521E-9
66.0,66.0,1.4366495E-6
67.0,67.0,2.8521123E-9
68.0,68.0,0.1010989
69.0,69.0,0.08661222
70.0,70.0,0.25039914
71.0,71.0,0.041867886
72.0,72.0,0.08059873
73.0,73.0,0.119521
74.0,74.0,0.10539526
75.0,75.0,1.8304525E-4
76.0,76.0,0.15702452
77.0,77.0,0.10730067
78.0,78.0,0.024460843
79.0,79.0,0.09178176
80.0,80.0,0.0044797403
81.0,81.0,0.15770288
82.0,82.0,6.890127E-5
83.0,83.0,4.176779E-5
84.0,84.0,5.863205E-6
85.0,85.0,0.009848134
86.0,86.0,1.0274472E-6
87.0,87.0,0.054824084
88.0,88.0,0.19414385
89.0,89.0,0.089998186
90.0,90.0,0.009742552
91.0,91.0,0.16260742
92.0,92.0,0.006755274
93.0,93.0,0.065728135
94.0,94.0,1.6785012E-6
95.0,95.0,2.462784E-4
96.0,96.0,0.0020635745
97.0,97.0,0.8069328
98.0,98.0,0.009847969
99.0,99.0,0.08520155
100.0,100.0,0.008380382
101.0,101.0,0.18243076
102.0,102.0,0.051220745
103.0,103.0,0.009014531
104.0,104.0,0.10283608
105.0,105.0,0.097860545
106.0,106.0,0.008390366
107.0,107.0,0.12963243
108.0,108.0,6.195726E-6
109.0,109.0,0.007548206
110.0,110.0,0.13715038
111.0,111.0,4.41019E-9
