x,y,species max
1.0,1.0,0.36377272
2.0,2.0,0.24807437
3.0,3.0,0.6740739
4.0,4.0,2.8408543E-4
5.0,5.0,5.230271E-4
6.0,6.0,0.06317741
7.0,7.0,0.32408252
8.0,8.0,0.48229167
9.0,9.0,0.014959007
10.0,10.0,0.014716701
11.0,11.0,3.0044698E-6
12.0,12.0,0.07679692
13.0,13.0,0.21345903
14.0,14.0,0.0328495
15.0,15.0,0.28297353
16.0,16.0,0.5368281
17.0,17.0,2.4794266E-4
18.0,18.0,0.5603964
19.0,19.0,0.0038018317
20.0,20.0,0.06292031
21.0,21.0,0.040061977
22.0,22.0,0.07112218
23.0,23.0,0.0049960506
24.0,24.0,0.8786582
25.0,25.0,0.17122468
26.0,26.0,0.28109062
27.0,27.0,0.23802678
28.0,28.0,1.6367604E-4
29.0,29.0,2.5578849E-5
30.0,30.0,7.568462E-4
31.0,31.0,0.0036692612
32.0,32.0,0.0065568723
33.0,33.0,3.5289302E-4
34.0,34.0,0.009021824
35.0,35.0,5.1327934E-4
36.0,36.0,0.092954285
37.0,37.0,0.14217976
38.0,38.0,0.5123119
39.0,39.0,0.020975986
40.0,40.0,0.32376823
41.0,41.0,0.019367026
42.0,42.0,0.42415443
43.0,43.0,0.2784951
44.0,44.0,1.8536148E-4
45.0,45.0,6.59887E-7
46.0,46.0,0.018906604
47.0,47.0,0.08410208
48.0,48.0,0.01379163
49.0,49.0,0.43081924
50.0,50.0,0.028004337
51.0,51.0,0.14481997
52.0,52.0,0.14258514
53.0,53.0,7.270583E-4
54.0,54.0,0.0054783863
55.0,55.0,0.0037565099
56.0,56.0,0.2597148
57.0,57.0,0.5890002
58.0,58.0,0.65859956
59.0,59.0,0.0010686065
60.0,60.0,0.6296705
61.0,61.0,0.48475415
62.0,62.0,0.27309737
63.0,63.0,3.612879E-5
64.0,64.0,0.72256523
65.0,65.0,0.30442208
66.0,66.0,0.47873938
67.0,67.0,0.2357955
68.0,68.0,0.42991364
69.0,69.0,0.27576205
70.0,70.0,0.668494
71.0,71.0,6.064301E-7
72.0,72.0,0.006028502
73.0,73.0,9.881296E-5
74.0,74.0,0.18915112
75.0,75.0,0.6564158
76.0,76.0,0.35756475
77.0,77.0,0.5724757
78.0,78.0,9.704008E-5
79.0,79.0,0.027053926
80.0,80.0,0.49851292
81.0,81.0,0.67063814
82.0,82.0,0.26159832
83.0,83.0,0.026212564
84.0,84.0,7.626211E-7
85.0,85.0,0.50391155
86.0,86.0,0.012038944
87.0,87.0,0.027678583
88.0,88.0,0.00862686
89.0,89.0,0.20580728
90.0,90.0,0.3028742
91.0,91.0,0.029487265
92.0,92.0,0.31269646
93.0,93.0,0.28771898
94.0,94.0,0.16154732
95.0,95.0,0.40338868
96.0,96.0,0.026535572
97.0,97.0,0.4041231
98.0,98.0,0.19173002
99.0,99.0,0.20636263
100.0,100.0,0.71274126
101.0,101.0,0.11396754
102.0,102.0,0.49688894
103.0,103.0,0.2102986
104.0,104.0,0.0524529
105.0,105.0,0.09287252
106.0,106.0,0.08630581
107.0,107.0,1.007916E-4
108.0,108.0,0.008755616
109.0,109.0,0.8165553
110.0,110.0,0.0024531262
111.0,111.0,0.051312737
112.0,112.0,0.011911582
113.0,113.0,0.30352974
114.0,114.0,0.9292921
115.0,115.0,7.681217E-4
116.0,116.0,4.1863546E-5
117.0,117.0,0.64898807
118.0,118.0,8.193304E-6
119.0,119.0,0.9186879
120.0,120.0,0.38844657
121.0,121.0,7.1036475E-6
122.0,122.0,0.003128385
123.0,123.0,0.28957117
124.0,124.0,0.09512235
125.0,125.0,0.2576151
126.0,126.0,0.35764346
127.0,127.0,0.30271772
128.0,128.0,3.0183546E-6
129.0,129.0,0.0061216005
130.0,130.0,0.2668834
131.0,131.0,0.34047925
132.0,132.0,1.8992056E-5
133.0,133.0,0.593789
134.0,134.0,0.07278606
135.0,135.0,7.482032E-6
136.0,136.0,0.041507006
137.0,137.0,0.258644
138.0,138.0,0.032611173
139.0,139.0,4.7167323E-5
140.0,140.0,0.2749265
141.0,141.0,0.3624567
142.0,142.0,1.7938668E-4
143.0,143.0,5.350768E-6
144.0,144.0,0.5157944
145.0,145.0,2.3236897E-4
146.0,146.0,0.016912753
147.0,147.0,0.006070755
148.0,148.0,0.0028992868
149.0,149.0,0.17951405
150.0,150.0,0.5200731
151.0,151.0,0.48937798
152.0,152.0,0.0025960617
153.0,153.0,1.4308643E-5
154.0,154.0,1.7106356E-4
155.0,155.0,0.08370484
156.0,156.0,1.9061325E-5
157.0,157.0,0.002974963
158.0,158.0,0.020929977
159.0,159.0,1.3681714E-4
160.0,160.0,4.1422909E-4
161.0,161.0,0.5460875
162.0,162.0,0.2777072
163.0,163.0,4.902866E-6
164.0,164.0,0.3053605
165.0,165.0,0.25953302
166.0,166.0,3.5554974E-6
167.0,167.0,0.58222467
168.0,168.0,5.625918E-4
169.0,169.0,0.5879178
170.0,170.0,0.5533035
171.0,171.0,0.27503374
172.0,172.0,0.32321253
173.0,173.0,0.31969845
174.0,174.0,0.64695764
175.0,175.0,0.32860214
176.0,176.0,0.37588105
177.0,177.0,0.21640517
178.0,178.0,0.38415533
179.0,179.0,0.023043776
180.0,180.0,0.0020383028
181.0,181.0,0.015341632
182.0,182.0,0.99633145
183.0,183.0,0.028590364
184.0,184.0,0.4597651
185.0,185.0,0.015098873
186.0,186.0,9.626982E-6
187.0,187.0,0.19472511
188.0,188.0,0.36265436
189.0,189.0,2.3033077E-5
190.0,190.0,0.7972628
191.0,191.0,1.3029734E-4
192.0,192.0,0.090438016
193.0,193.0,0.53470623
194.0,194.0,6.462717E-5
195.0,195.0,0.8577518
196.0,196.0,0.9619648
197.0,197.0,0.29747653
198.0,198.0,0.9531135
199.0,199.0,0.1091609
200.0,200.0,0.014958646
201.0,201.0,0.14611094
202.0,202.0,2.1989379E-6
203.0,203.0,0.009950225
204.0,204.0,6.296692E-4
205.0,205.0,7.023046E-5
206.0,206.0,0.53650594
207.0,207.0,0.3595036
208.0,208.0,0.0054714223
209.0,209.0,0.006931759
210.0,210.0,0.4587144
211.0,211.0,0.006414606
212.0,212.0,9.0459456E-5
213.0,213.0,0.0049209213
214.0,214.0,7.554049E-6
