x,y,species cloglog values
1.0,1.0,0.009778616
2.0,2.0,4.7378856E-9
3.0,3.0,0.42273742
4.0,4.0,2.7877489E-8
5.0,5.0,0.07865776
6.0,6.0,7.7734745E-5
7.0,7.0,1.0500125E-4
8.0,8.0,2.0029753E-5
9.0,9.0,0.09932821
10.0,10.0,0.24291797
11.0,11.0,2.1700716E-8
12.0,12.0,0.0057050786
13.0,13.0,0.01234672
14.0,14.0,7.4531045E-4
15.0,15.0,0.012782758
16.0,16.0,0.13196568
17.0,17.0,2.0809803E-7
18.0,18.0,0.17972672
19.0,19.0,7.750095E-4
20.0,20.0,0.0020793146
21.0,21.0,0.018520216
22.0,22.0,0.1569088
23.0,23.0,0.005481524
24.0,24.0,0.014761039
25.0,25.0,5.1406794E-9
26.0,26.0,5.246883E-6
27.0,27.0,7.1274996E-4
28.0,28.0,3.2598525E-4
29.0,29.0,0.123429194
30.0,30.0,4.1137646E-6
31.0,31.0,2.3617892E-4
32.0,32.0,0.2279511
33.0,33.0,0.022788303
34.0,34.0,1.7861922E-8
35.0,35.0,4.7144906E-5
36.0,36.0,3.2411343E-5
37.0,37.0,0.642112
38.0,38.0,0.0014185273
39.0,39.0,5.025394E-4
40.0,40.0,0.12938377
41.0,41.0,0.003780411
42.0,42.0,0.043372363
43.0,43.0,0.12893693
44.0,44.0,0.0810749
45.0,45.0,4.695959E-5
46.0,46.0,0.014945861
47.0,47.0,0.03993569
48.0,48.0,0.26221105
49.0,49.0,0.00452116
50.0,50.0,0.00420662
51.0,51.0,0.15744051
52.0,52.0,2.4502235E-5
53.0,53.0,4.2349513E-4
54.0,54.0,0.41525754
55.0,55.0,0.097989716
56.0,56.0,0.2606478
57.0,57.0,1.06611445E-7
58.0,58.0,0.042772435
59.0,59.0,1.9134472E-4
60.0,60.0,0.11920171
61.0,61.0,0.01979305
62.0,62.0,0.060115404
63.0,63.0,0.0019199962
64.0,64.0,0.042769667
65.0,65.0,0.052888952
66.0,66.0,0.24117763
67.0,67.0,9.479004E-6
68.0,68.0,0.25486934
