X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
59.0,59.0,train,0.003978448876598255,62.87453123437926,0.8460219975177679
61.0,61.0,train,0.004716524009745729,79.96909137749313,0.8911778292621698
63.0,63.0,train,0.006697762956212447,99.3009617014619,0.9571374852066314
64.0,64.0,train,0.00636986110361763,98.63118060027547,0.9499911445863974
65.0,65.0,train,0.00589785232118864,97.3951201314094,0.93756214684218
66.0,66.0,train,0.0038451193998568444,59.34181892990329,0.8360583426332115
67.0,67.0,train,0.003343621378129205,48.13691599773785,0.792454594241559
68.0,68.0,train,0.0028108714446098116,39.874624164440675,0.733363448682541
69.0,69.0,train,0.003430958658532354,50.51796014266643,0.8008062383611286
70.0,70.0,train,0.00418640695531038,66.12118791779992,0.8603675956937235
71.0,71.0,train,0.004460615601199994,71.73419771341172,0.8772608759618462
72.0,72.0,train,0.004695020452516539,79.49730882700057,0.8900717842463246
73.0,73.0,train,0.0045203025572476355,74.43724708911428,0.8806581373656129
74.0,74.0,train,0.004533318790102193,75.34234175413233,0.8813864149968863
76.0,76.0,train,0.004518249435998301,73.98471277011865,0.8805428545835682
77.0,77.0,train,0.0034129304041571884,49.83341475218176,0.7991102647940189
78.0,78.0,train,0.00218678335472453,31.563078753965502,0.6424137953854585
79.0,79.0,train,0.003978526571523963,63.25541915824069,0.8460276234016569
80.0,80.0,train,0.005140997463891422,89.27180374333942,0.9108698271379359
81.0,81.0,train,0.005101919179224587,88.75772581137942,0.909216707425975
82.0,82.0,train,0.0029845052606399984,42.496715401122025,0.7542704086845284
83.0,83.0,train,0.00506462341991915,87.74264482375224,0.9076104066310026
84.0,84.0,train,0.004947410002183904,85.36678257446475,0.9023747360935777
85.0,85.0,train,0.0037234494340841217,55.55909312143574,0.8264044161887384
86.0,86.0,train,0.0029784860924379547,42.198197534201654,0.7535738525697763
87.0,87.0,train,1.920473495249119E-5,1.1995006031200084,0.008990751808302111
88.0,88.0,train,0.004742736193822555,82.33575732596881,0.8925110251737254
89.0,89.0,train,0.005418323664032312,93.45980636821245,0.9217679273759587
90.0,90.0,train,0.004309675499782956,69.52014402650697,0.8682318714689841
91.0,91.0,train,0.0037669538349214466,57.05972584100035,0.8299198928910974
92.0,92.0,train,0.0038725061160635546,60.501655138569966,0.8381562338910227
93.0,93.0,train,0.004402774563502643,70.39975637480744,0.8738764388536688
94.0,94.0,train,0.004740462782869015,81.86285432578903,0.8923960454112685
95.0,95.0,train,0.004458662722182578,71.28975676392218,0.8771481029551982
96.0,96.0,train,0.002289057945586563,32.685660506436435,0.6592054567008364
97.0,97.0,train,0.0016344336955213307,25.846019537170662,0.5363499843054003
98.0,98.0,train,0.0019132795835360035,28.67400827860069,0.5933320075875675
100.0,100.0,train,0.005749750450007877,96.80532174208643,0.9330584672106901
101.0,101.0,train,0.003997136739452731,64.07104720361971,0.8473692801593212
102.0,102.0,train,0.005615170011113722,96.23034495248189,0.9286848527219588
103.0,103.0,train,0.004613939244019166,77.63348849422476,0.8857992760791371
104.0,104.0,train,0.005034410607557144,87.23452688252844,0.9062883486834284
105.0,105.0,train,0.002547101899299331,36.09713198799844,0.6981502343172084
106.0,106.0,train,0.002689985242927055,37.925320595164074,0.717766239497611
107.0,107.0,train,0.0017030988520386552,26.315944699867238,0.5510826381480264
108.0,108.0,train,7.302920742805955E-4,13.73013829890677,0.2906700752499778
109.0,109.0,train,0.0012114351516695802,20.04347216886967,0.43430585281927025
110.0,110.0,train,0.002503656333093935,35.0881894287169,0.6919196642002496
111.0,111.0,train,0.0037555575526906824,56.68265809172583,0.8290059304226336
112.0,112.0,train,0.0025119721281682303,35.5904174518153,0.6931221119242514
113.0,113.0,train,0.0033277007409154226,47.80253003318497,0.7908948703394303
114.0,114.0,train,0.004902071024191344,84.74416099251307,0.9002708634128501
117.0,117.0,train,0.003617333092414095,53.347539383565056,0.8175216191305472
118.0,118.0,train,0.001740148217755471,27.009195391326568,0.5588364745291807
119.0,119.0,train,0.002934359193048925,41.30727595630708,0.748406697464872
120.0,120.0,train,0.0031564703699559706,45.5366081692136,0.7733602707490472
121.0,121.0,train,0.0034679788566434047,51.210803795920356,0.8042440881307765
122.0,122.0,train,0.003780548580101924,57.814856376363615,0.831003780938881
123.0,123.0,train,0.0034153583272110988,50.17465866997976,0.7993395056999631
124.0,124.0,train,0.0020789497977510086,29.964779568058614,0.6238126231868655
125.0,125.0,train,0.0027694478015216966,38.474976490879115,0.7281183665074671
126.0,126.0,train,0.0018716181844699998,28.10424957271275,0.585285961382114
127.0,127.0,train,0.0023290908968636795,33.381625611931966,0.6655613403216195
128.0,128.0,train,0.004435759558825252,70.84326503906574,0.8758177538540821
129.0,129.0,train,0.0024260566340345243,34.09784074099424,0.6804692870824334
130.0,130.0,train,5.776264250694671E-4,12.122414994723579,0.23787175223602852
131.0,131.0,train,0.0017553721735981216,27.077028088965783,0.5619836486083695
132.0,132.0,train,0.0024961309750532604,34.837978135631836,0.6908274515352844
133.0,133.0,train,2.394206378333878E-4,6.648553150627826,0.10648518700026122
134.0,134.0,train,6.138649836367637E-5,2.7292201006796803,0.02845552779320737
136.0,136.0,train,2.911596693265753E-5,1.624713924732387,0.013599054415677436
20.0,20.0,test,0.00291271065040542,41.19122809358133,0.7458322283791886
28.0,28.0,test,0.003934445759825433,61.161186603091956,0.8428024804299163
35.0,35.0,test,0.0038777647393204023,60.5514221048161,0.8385559747180503
41.0,41.0,test,0.0032985731190425267,47.533609388612966,0.7880108725577607
50.0,50.0,test,0.004392740509504753,70.03895161800322,0.873279891286232
51.0,51.0,test,0.003810649443595144,58.53079876610876,0.8333791609333124
60.0,60.0,test,0.002823378431973124,40.18863481996181,0.7349271118106859
62.0,62.0,test,0.007026620968467766,100.0,0.9632791183868451
75.0,75.0,test,0.0030921822822033754,45.29955549510323,0.76640369668458
99.0,99.0,test,0.002073690252834103,29.84216606621238,0.6228810071571764
115.0,115.0,test,0.002837650166410678,40.346232600353765,0.736700210234968
116.0,116.0,test,0.004946532974630938,85.22978530821877,0.9023344632418439
135.0,135.0,test,1.0263385680775972E-5,0.7064410217120689,0.004814934210693789
