x,y,species_4 cloglog values
224.0,224.0,0.78083986
225.0,225.0,0.11946032
226.0,226.0,0.14378834
227.0,227.0,0.2541588
228.0,228.0,0.14703596
229.0,229.0,0.1365664
230.0,230.0,0.07807961
231.0,231.0,0.0020036832
232.0,232.0,0.6788435
233.0,233.0,5.071892E-4
234.0,234.0,0.25678083
235.0,235.0,0.016694758
236.0,236.0,0.23135643
237.0,237.0,0.10911706
238.0,238.0,0.14252456
239.0,239.0,0.5462571
240.0,240.0,0.042195052
241.0,241.0,0.1475166
242.0,242.0,0.09202511
243.0,243.0,0.17495857
244.0,244.0,0.73541254
245.0,245.0,0.35089055
246.0,246.0,0.011860458
247.0,247.0,0.08831301
248.0,248.0,0.58929425
249.0,249.0,0.30897745
250.0,250.0,0.073603466
251.0,251.0,0.628511
252.0,252.0,0.077727124
253.0,253.0,0.10882405
254.0,254.0,0.6756089
255.0,255.0,0.37192488
256.0,256.0,0.050813906
257.0,257.0,0.31029168
258.0,258.0,0.11526979
259.0,259.0,0.038841248
260.0,260.0,0.14175253
261.0,261.0,0.54840547
262.0,262.0,0.16834806
263.0,263.0,0.17612094
264.0,264.0,0.4667355
265.0,265.0,0.11367791
266.0,266.0,0.052820515
267.0,267.0,0.07508148
268.0,268.0,0.028611565
269.0,269.0,0.060614623
270.0,270.0,0.13062799
271.0,271.0,0.107560754
272.0,272.0,0.17231347
273.0,273.0,0.10382315
274.0,274.0,0.09250986
275.0,275.0,0.7249763
276.0,276.0,0.16328783
277.0,277.0,0.019949365
278.0,278.0,0.11018356
279.0,279.0,0.11828319
280.0,280.0,0.13842727
281.0,281.0,0.35547724
282.0,282.0,0.17710641
283.0,283.0,0.095163845
284.0,284.0,9.1817665E-6
285.0,285.0,0.71503234
286.0,286.0,0.25059417
287.0,287.0,0.09135743
288.0,288.0,0.12131116
289.0,289.0,0.15294458
290.0,290.0,0.13213411
291.0,291.0,0.06410038
292.0,292.0,0.005854508
293.0,293.0,0.3206326
294.0,294.0,0.10349806
295.0,295.0,0.0065904963
296.0,296.0,0.0020846522
297.0,297.0,0.15664862
298.0,298.0,0.06894727
299.0,299.0,0.17730553
300.0,300.0,0.054653905
301.0,301.0,0.063527934
302.0,302.0,0.07173003
303.0,303.0,0.05440155
304.0,304.0,0.22159204
305.0,305.0,0.22528012
306.0,306.0,0.049955864
307.0,307.0,0.00802853
308.0,308.0,0.120756045
309.0,309.0,0.11440347
310.0,310.0,0.16614084
311.0,311.0,0.15494266
312.0,312.0,0.7632914
313.0,313.0,0.7142991
314.0,314.0,0.71855545
315.0,315.0,0.7492029
316.0,316.0,0.42255175
317.0,317.0,0.16741946
318.0,318.0,0.13590151
319.0,319.0,0.09665147
320.0,320.0,0.8692443
321.0,321.0,0.16589983
322.0,322.0,0.1285224
323.0,323.0,0.77719545
324.0,324.0,0.009377277
325.0,325.0,0.11130808
326.0,326.0,0.13508373
327.0,327.0,0.10107587
328.0,328.0,0.25597054
329.0,329.0,0.1427261
330.0,330.0,0.533293
331.0,331.0,0.124778196
332.0,332.0,0.4076624
333.0,333.0,0.0060492186
334.0,334.0,0.3049084
335.0,335.0,0.07968673
336.0,336.0,0.08781628
337.0,337.0,0.07344536
338.0,338.0,0.1401836
339.0,339.0,1.1642455E-5
340.0,340.0,0.11394545
341.0,341.0,0.11203804
342.0,342.0,0.053907312
343.0,343.0,0.19893043
344.0,344.0,0.12789574
345.0,345.0,0.18666153
346.0,346.0,0.115170516
347.0,347.0,0.091848135
348.0,348.0,0.21357517
349.0,349.0,0.10996418
350.0,350.0,0.2372874
