x,y,species median
1.0,1.0,6.719223E-5
2.0,2.0,0.008683814
3.0,3.0,0.007942104
4.0,4.0,0.007437552
5.0,5.0,0.00207317
6.0,6.0,0.0126655325
7.0,7.0,3.4838715E-5
8.0,8.0,0.0069860755
9.0,9.0,0.019443272
10.0,10.0,1.6247663E-4
11.0,11.0,0.07059454
12.0,12.0,0.07170078
13.0,13.0,0.0022995155
14.0,14.0,0.0068245702
15.0,15.0,6.535874E-5
16.0,16.0,0.008229902
17.0,17.0,0.6162731
18.0,18.0,0.02503031
19.0,19.0,0.02109087
20.0,20.0,0.006551576
21.0,21.0,0.0039889775
22.0,22.0,4.3033977E-4
23.0,23.0,0.6453676
24.0,24.0,0.006777728
25.0,25.0,1.9955279E-4
26.0,26.0,0.0035357464
27.0,27.0,0.0050602797
28.0,28.0,0.0039060689
29.0,29.0,1.357929E-4
30.0,30.0,0.037859563
31.0,31.0,0.0061045005
32.0,32.0,0.0010780254
33.0,33.0,0.42964858
34.0,34.0,0.0019500699
35.0,35.0,0.0064321347
36.0,36.0,5.142077E-4
37.0,37.0,0.0026698557
38.0,38.0,0.006166218
39.0,39.0,0.0012268897
40.0,40.0,0.007422456
41.0,41.0,0.017893454
42.0,42.0,0.0012323414
43.0,43.0,0.4575121
44.0,44.0,0.0011501764
45.0,45.0,0.006521149
46.0,46.0,0.012901443
47.0,47.0,0.012652604
48.0,48.0,4.243101E-6
49.0,49.0,0.7449473
50.0,50.0,0.015346541
51.0,51.0,6.546855E-4
52.0,52.0,0.0011866115
53.0,53.0,0.120955005
54.0,54.0,0.0019502635
55.0,55.0,3.0273118E-4
56.0,56.0,0.0013597467
57.0,57.0,0.73758584
58.0,58.0,0.68119836
59.0,59.0,0.059247255
60.0,60.0,0.006307096
61.0,61.0,0.011024214
62.0,62.0,0.0034152402
63.0,63.0,0.004969281
64.0,64.0,0.01746491
65.0,65.0,5.1177405E-5
66.0,66.0,0.004424457
67.0,67.0,0.6631948
68.0,68.0,0.0011117029
69.0,69.0,0.008767742
70.0,70.0,0.6570807
71.0,71.0,7.8104966E-4
72.0,72.0,0.01453466
73.0,73.0,0.047604226
74.0,74.0,0.73952436
75.0,75.0,0.47720256
76.0,76.0,0.005137359
77.0,77.0,2.516959E-4
78.0,78.0,0.049591724
79.0,79.0,1.3091134E-4
80.0,80.0,0.39409885
81.0,81.0,0.0066191284
82.0,82.0,0.5429547
83.0,83.0,0.0017858781
84.0,84.0,4.176366E-4
85.0,85.0,0.0020871689
86.0,86.0,0.0079447925
87.0,87.0,0.020758852
88.0,88.0,5.5902423E-5
89.0,89.0,1.1388711E-5
90.0,90.0,9.999207E-5
91.0,91.0,0.004882658
92.0,92.0,0.008338116
93.0,93.0,0.59343857
94.0,94.0,0.0011246812
95.0,95.0,0.007968723
96.0,96.0,0.02225565
97.0,97.0,0.00676561
98.0,98.0,0.11830771
99.0,99.0,0.002286506
100.0,100.0,0.0020029752
101.0,101.0,7.0125905E-5
102.0,102.0,0.0073937266
103.0,103.0,0.0059548044
104.0,104.0,0.6785065
105.0,105.0,8.379546E-6
106.0,106.0,0.4615411
107.0,107.0,0.005252036
108.0,108.0,0.026728503
109.0,109.0,0.0071608126
110.0,110.0,0.008506409
111.0,111.0,0.003610739
112.0,112.0,8.365387E-4
113.0,113.0,0.005482545
114.0,114.0,8.029863E-5
115.0,115.0,0.84203905
116.0,116.0,0.6876864
117.0,117.0,0.0010562185
118.0,118.0,9.021658E-4
119.0,119.0,0.009420526
120.0,120.0,0.0018679027
121.0,121.0,0.0059353174
122.0,122.0,0.0019993628
123.0,123.0,7.55351E-5
124.0,124.0,0.0024809288
125.0,125.0,0.004449032
126.0,126.0,0.014741183
127.0,127.0,0.2493119
128.0,128.0,8.492312E-4
129.0,129.0,5.444792E-6
130.0,130.0,0.4700229
131.0,131.0,0.0030039225
132.0,132.0,0.0051455433
133.0,133.0,0.006187908
134.0,134.0,0.009054554
135.0,135.0,1.8336011E-4
136.0,136.0,0.09422403
137.0,137.0,0.02656978
138.0,138.0,0.048701383
139.0,139.0,8.979079E-4
140.0,140.0,0.006999923
141.0,141.0,0.0054619205
142.0,142.0,0.80207914
143.0,143.0,1.5787355E-4
144.0,144.0,0.5168537
145.0,145.0,0.031544156
146.0,146.0,0.31883946
147.0,147.0,0.6890509
148.0,148.0,0.010165871
149.0,149.0,0.6907469
150.0,150.0,0.0026489368
151.0,151.0,3.425292E-6
152.0,152.0,8.6049346E-5
153.0,153.0,9.846875E-4
154.0,154.0,0.037111945
155.0,155.0,2.0252996E-4
156.0,156.0,0.4357051
157.0,157.0,1.2771176E-4
158.0,158.0,0.0060510775
159.0,159.0,0.013060454
160.0,160.0,1.06512256E-4
161.0,161.0,2.9343983E-5
162.0,162.0,0.0017924582
163.0,163.0,0.013400489
164.0,164.0,0.57504934
165.0,165.0,2.5350316E-6
166.0,166.0,0.0029122143
167.0,167.0,0.006745872
168.0,168.0,0.09266041
169.0,169.0,0.38040087
170.0,170.0,0.0048983553
171.0,171.0,0.12724271
172.0,172.0,5.01485E-4
173.0,173.0,0.003713662
174.0,174.0,0.0026051472
175.0,175.0,0.039489653
176.0,176.0,0.009640191
177.0,177.0,0.008908999
178.0,178.0,0.73799133
179.0,179.0,0.009819329
180.0,180.0,4.7413592E-4
181.0,181.0,0.80062896
182.0,182.0,0.05205004
183.0,183.0,0.6433897
184.0,184.0,0.0043351497
185.0,185.0,0.01119975
186.0,186.0,9.718231E-5
187.0,187.0,0.2655612
188.0,188.0,1.1953678E-4
189.0,189.0,5.788182E-5
190.0,190.0,3.1640317E-5
191.0,191.0,0.004749386
192.0,192.0,0.0073980857
193.0,193.0,0.0041294005
194.0,194.0,0.019969255
195.0,195.0,0.45058647
196.0,196.0,0.006831295
197.0,197.0,0.010838291
198.0,198.0,0.0016691656
199.0,199.0,0.0025239522
200.0,200.0,6.0433646E-5
201.0,201.0,0.013393185
202.0,202.0,0.6067427
203.0,203.0,0.018254325
204.0,204.0,0.008133883
205.0,205.0,0.008566559
206.0,206.0,0.07903301
207.0,207.0,0.00304342
208.0,208.0,0.0019180033
209.0,209.0,0.67210877
210.0,210.0,0.18736541
211.0,211.0,0.005508273
212.0,212.0,0.012321571
213.0,213.0,0.014777199
214.0,214.0,0.46247056
215.0,215.0,1.4012912E-4
216.0,216.0,0.006703533
217.0,217.0,0.80053747
218.0,218.0,0.002832133
219.0,219.0,0.11064881
220.0,220.0,0.003927201
221.0,221.0,0.2909783
222.0,222.0,1.1070346E-4
223.0,223.0,0.7630596
224.0,224.0,0.003311823
