binomial,lon,lat
Desmognathus fuscus.39,-80.99925776,34.01484902
Desmognathus fuscus.40,-78.64708969,34.37373885
Desmognathus fuscus.41,-76.96705478,34.84435651
Desmognathus fuscus.42,-92.9164832,31.28905005
Desmognathus fuscus.43,-90.71529605,31.19236345
Desmognathus fuscus.44,-88.36027766,31.42038303
Desmognathus fuscus.45,-85.84530342,31.40004057
Desmognathus fuscus.46,-83.78350679,31.35101503
Desmognathus fuscus.47,-81.41524382,31.84175137
Eurycea bislineata.1,-73.63900002,53.78399998
Eurycea bislineata.2,-67.22000001,55.04999998
Eurycea bislineata.3,-60.14803558,53.53429806
Eurycea bislineata.4,-80.6203567,50.23230898
Eurycea bislineata.5,-78.97637107,50.37928484
Eurycea bislineata.6,-76.27196475,50.69397751
Eurycea bislineata.7,-74.58081456,50.80212627
Eurycea bislineata.8,-67.81948158,50.33373522
Eurycea bislineata.9,-66.45729554,50.54841807
Eurycea bislineata.10,-64.01156326,50.53299718
Eurycea bislineata.11,-61.7990723,50.45671309
Eurycea bislineata.12,-80.61874003,49.45778922
Eurycea bislineata.13,-78.94651019,48.92017222
Eurycea bislineata.14,-76.50802345,48.90098768
Eurycea bislineata.15,-74.23430173,48.65518883
Eurycea bislineata.16,-71.64049251,48.15068215
Eurycea bislineata.17,-68.84945118,48.60381178
Eurycea bislineata.18,-66.62513866,48.61898031
Eurycea bislineata.19,-64.85463813,48.599459
Eurycea bislineata.20,-61.67543047,50.12282773
Eurycea bislineata.21,-80.52959124,46.70123617
Eurycea bislineata.22,-79.0034501,46.40561305
Eurycea bislineata.23,-76.50802345,46.40098768
Eurycea bislineata.24,-74.00802345,46.40098768
Eurycea bislineata.25,-71.53271785,46.38117417
Eurycea bislineata.26,-68.99365559,46.3861272
Eurycea bislineata.27,-66.52912468,46.42602505
Eurycea bislineata.28,-64.86816691,46.37142077
Eurycea bislineata.29,-78.58052572,44.10048607
Eurycea bislineata.30,-76.302266,43.8963525
Eurycea bislineata.31,-74.00802345,43.90098768
Eurycea bislineata.32,-71.56702463,43.95224571
Eurycea bislineata.33,-69.18807925,44.6035663
Eurycea bislineata.34,-67.34898186,44.90238149
Eurycea bislineata.35,-86.27091501,40.39746205
Eurycea bislineata.36,-83.07664755,40.58440351
Eurycea bislineata.37,-81.40073273,40.93712423
Eurycea bislineata.38,-78.96023108,41.33871229
Eurycea bislineata.39,-76.50802345,41.40098768
Eurycea bislineata.40,-74.11635527,41.53301401
Eurycea bislineata.41,-71.77865048,41.98015895
Eurycea bislineata.42,-70.0705771,41.79611826
Eurycea bislineata.43,-66.72762654,42.32766474
Eurycea bislineata.44,-86.48112566,39.34906402
Eurycea bislineata.45,-83.42329934,39.76499889
Eurycea bislineata.46,-81.47880235,38.91619279
Eurycea bislineata.47,-79.00802345,38.90098768
Eurycea bislineata.48,-76.57791394,38.99323786
Eurycea bislineata.49,-74.78971133,39.69143589
Eurycea bislineata.50,-72.51527107,39.58841672
Eurycea bislineata.51,-85.89142619,36.11331952
Eurycea bislineata.52,-83.94243764,35.89407334
Eurycea bislineata.53,-81.4951634,36.3896568
Eurycea bislineata.54,-79.00802345,36.40098768
Eurycea bislineata.55,-77.13453353,36.72638567
Eurycea bislineata.56,-87.46129048,33.24664273
Eurycea bislineata.57,-84.11088347,34.29990541
Eurycea bislineata.58,-81.27722552,34.42775496
Eurycea bislineata.59,-79.10773967,34.63471265
Eurycea bislineata.60,-77.50650409,34.93789522
Eurycea bislineata.61,-92.65703578,30.23032827
Eurycea bislineata.62,-88.71269998,32.34390002
Eurycea bislineata.63,-86.65333846,31.50983657
Eurycea bislineata.64,-84.92278539,31.89885361
Eurycea bislineata.65,-81.55764999,31.64725001
Eurycea longicauda.1,-88.26878998,41.88390999
Eurycea longicauda.2,-82.75134768,41.06839103
Eurycea longicauda.3,-80.90741393,41.30081739
Eurycea longicauda.4,-78.58319165,41.59296386
Eurycea longicauda.5,-76.13121662,41.74079335
Eurycea longicauda.6,-74.30239359,41.91914282
Eurycea longicauda.7,-93.24285325,38.78302148
Eurycea longicauda.8,-91.18545746,39.03783947
Eurycea longicauda.9,-88.19847841,39.20713869
Eurycea longicauda.10,-86.23626661,39.17207646
Eurycea longicauda.11,-83.56767958,39.37187529
Eurycea longicauda.12,-81.17227669,39.54197687
Eurycea longicauda.13,-78.67227669,39.54197687
Eurycea longicauda.14,-76.42326524,39.89131173
Eurycea longicauda.15,-74.59498387,40.50283222
Eurycea longicauda.16,-95.23211116,36.2516102
Eurycea longicauda.17,-93.60243531,36.9775916
Eurycea longicauda.18,-91.2703969,37.15398613
Eurycea longicauda.19,-88.55396218,36.98482051
Eurycea longicauda.20,-86.17054315,37.04023036
Eurycea longicauda.21,-83.67227669,37.04197687
Eurycea longicauda.22,-81.27444396,37.26271489
Eurycea longicauda.23,-78.55776859,37.14534343
Eurycea longicauda.24,-77.15662147,37.44058359
Eurycea longicauda.25,-95.26825265,34.82196315
Eurycea longicauda.26,-94.51741179,34.9639209
Eurycea longicauda.27,-91.00725708,35.24785359
Eurycea longicauda.28,-88.6277051,34.54374722
Eurycea longicauda.29,-86.2705934,34.72707852
Eurycea longicauda.30,-83.6355895,34.5747736
Eurycea longicauda.31,-81.77432196,34.02404016
Eurycea longicauda.32,-78.04775832,35.72474242
Eurycea longicauda.33,-77.27995263,35.61136165
Eurycea longicauda.34,-99.82128899,31.37316301
Eurycea longicauda.35,-94.17593999,32.69124001
Eurycea longicauda.36,-90.45371113,31.95808019
Eurycea longicauda.37,-88.88360459,32.17068121
Eurycea longicauda.38,-85.48140985,31.26587581
Eurycea longicauda.39,-83.14330285,32.8675503
Eurycea longicauda.40,-81.58127254,32.66028212
Eurycea longicauda.41,-79.83678784,32.94577001
Eurycea longicauda.42,-90.48379037,30.65530799
Eurycea longicauda.43,-89.26016848,30.58486863
Eurycea longicauda.44,-85.21683233,30.6182093
Eurycea longicauda.45,-83.54835051,29.57011764
Eurycea longicauda.46,-82.41326289,28.75050001
Eurycea longicauda.47,-83.26148086,23.75016163
Plethodon aureolus,-84.16534146,35.45860009
Plethodon dorsalis.1,-87.90642296,39.77693529
Plethodon dorsalis.2,-86.50851432,39.25027047
Plethodon dorsalis.3,-84.66668538,38.55614527
Plethodon dorsalis.4,-94.09729287,36.14395777
Plethodon dorsalis.5,-88.38242444,37.10899226
Plethodon dorsalis.6,-86.22911549,37.12598769
Plethodon dorsalis.7,-84.07571746,36.87070732
Plethodon dorsalis.8,-94.8442131,35.81464962
Plethodon dorsalis.9,-87.89658773,34.66029101
Plethodon dorsalis.10,-86.34400646,34.67660512
Plethodon dorsalis.11,-84.29035003,35.53160623
Plethodon dorsalis.12,-88.01911724,31.89593302
Plethodon dorsalis.13,-86.2019649,32.89090958
Plethodon jordani.1,-82.56963437,35.99086584
Plethodon jordani.2,-80.99852408,36.79651062
Plethodon jordani.3,-82.7995252,34.53976803
Plethodon jordani.4,-82.4443,31.28020001
Plethodon richmondi.1,-83.70502384,39.56113137
Plethodon richmondi.2,-81.88201351,39.73250552
Plethodon richmondi.3,-79.61263201,39.20505944
Plethodon richmondi.4,-84.01654195,37.70794564
Plethodon richmondi.5,-81.76047209,37.6329397
Plethodon richmondi.6,-79.75707778,38.33805247
Plethodon wehrlei.1,-83.3044,40.8424
Plethodon wehrlei.2,-79.52164138,41.22298507
Plethodon wehrlei.3,-78.22405585,41.51854023
Plethodon wehrlei.4,-76.48128212,41.77638235
Plethodon wehrlei.5,-82.03715704,38.76315379
Plethodon wehrlei.6,-80.46784805,39.12721183
Plethodon wehrlei.7,-78.91564512,39.88489972
Plethodon wehrlei.8,-83.51992657,36.74914769
Plethodon wehrlei.9,-80.53837011,37.22846918
Plethodon wehrlei.10,-77.4468,37.5481
Aneides aeneus.1,-86.47925047,38.28847844
Aneides aeneus.2,-86.29749879,38.31397219
Aneides aeneus.3,-82.43766128,38.3322702
Aneides aeneus.4,-80.11054595,39.00551349
Aneides aeneus.5,-78.26018248,39.88203268
Aneides aeneus.6,-86.90000926,35.89419367
Aneides aeneus.7,-84.75619767,36.2650732
Aneides aeneus.8,-82.72018404,36.90961808
Aneides aeneus.9,-81.14236729,37.52290942
Aneides aeneus.10,-87.4964647,34.09314378
Aneides aeneus.11,-85.76465669,34.68028948
Aneides aeneus.12,-82.93744594,34.97200076
Aneides ferreus.1,-126.9108002,50.19536898
Aneides ferreus.2,-124.8844123,49.25102339
Aneides ferreus.3,-123.3785154,48.51278608
Aneides ferreus.4,-123.6522228,48.35427003
Aneides ferreus.5,-123.765971,44.38393434
Aneides ferreus.6,-122.6248794,44.50775997
Aneides ferreus.7,-123.8753704,42.24088685
Aneides ferreus.8,-122.9041515,42.49280048
Aneides ferreus.9,-123.7697907,40.08336034
Aneides ferreus.10,-123.2578286,39.40099898
Aneides flavipunctatus.1,-123.3448132,41.05608699
Aneides flavipunctatus.2,-123.0455294,39.12023277
Aneides hardii,-105.6186858,33.09465526
Aneides lugubris.1,-123.0256773,39.29374082
Aneides lugubris.2,-120.6174117,38.57912299
Aneides lugubris.3,-122.2648521,37.71195186
Aneides lugubris.4,-120.9210787,36.91754888
Aneides lugubris.5,-119.2664429,37.53659574
Aneides lugubris.6,-120.4618472,35.15211142
Aneides lugubris.7,-117.8649285,33.90230255
Aneides lugubris.8,-117.0787125,32.85209081
Aneides vagrans.1,-126.9026166,50.17318103
Aneides vagrans.2,-124.884712,49.25862991
Aneides vagrans.3,-123.7270258,48.39919173
Aneides vagrans.4,-123.8350781,41.3511623
Aneides vagrans.5,-123.7484245,40.07272948
Aquiloeurycea cephalica,-98.77225807,20.3172406
Aquiloeurycea galeanae,-99.88882147,24.18058741
Aquiloeurycea quetzalanensis,-97.52393464,20.01524837
Batrachoseps attenuatus.1,-124.0129295,41.53141778
Batrachoseps attenuatus.2,-123.0845538,39.10465799
Batrachoseps attenuatus.3,-121.1512962,38.59910248
Batrachoseps attenuatus.4,-122.2664233,37.50923317
Batrachoseps attenuatus.5,-121.4138362,37.4277834
Batrachoseps campi,-117.9451181,36.74572425
Batrachoseps diabolicus,-120.6212829,38.24305726
Batrachoseps gabrieli,-117.5640287,34.24543374
Batrachoseps gavilanensis,-121.0673479,36.32397703
Batrachoseps gregarius,-119.2544612,36.61401628
Batrachoseps incognitus,-121.1283663,35.73543288
Batrachoseps kawia,-118.6969452,36.55962451
Batrachoseps luciae,-121.6607889,36.28248638
Batrachoseps major.1,-117.1785861,33.17551438
Batrachoseps major.2,-116.3587087,31.49096259
Batrachoseps minor,-120.7491084,35.54641895
Batrachoseps nigriventris,-119.9046122,34.94022559
Batrachoseps pacificus,-119.9441462,33.99816185
Batrachoseps robustus,-118.1049235,35.95431814
Batrachoseps simatus,-118.5390518,35.80511985
Batrachoseps stebbinsi,-118.5716152,35.34374838
Batrachoseps wrighti,-122.0760092,44.73483501
Bolitoglossa adspersa,-73.73090222,5.13721271
Bolitoglossa alberchi,-94.23805211,17.47595815
Bolitoglossa alvaradoi,-83.90539463,10.16472451
Bolitoglossa biseriata.1,-81.21051961,8.90624594
Bolitoglossa biseriata.2,-78.48069411,8.85045632
Bolitoglossa biseriata.3,-77.46554031,7.69191888
Bolitoglossa biseriata.4,-77.65397761,7.00814404
Bolitoglossa biseriata.5,-77.20437834,5.69397905
Bolitoglossa biseriata.6,-77.68484266,2.65787528
Bolitoglossa biseriata.7,-77.1640142,3.74062921
Bolitoglossa bramei,-82.66526229,8.91124732
Bolitoglossa carri,-87.44747095,14.11889542
Bolitoglossa celaque,-88.26593028,14.33199955
Bolitoglossa cerroensis,-83.78380707,9.58661656
Bolitoglossa colonnea.1,-83.22466978,9.69176321
Bolitoglossa colonnea.2,-79.93207841,8.68471144
Bolitoglossa compacta,-82.65795894,8.92567825
Bolitoglossa conanti,-88.69328876,14.99756907
Bolitoglossa cuchumatana,-91.09653038,15.58179844
Bolitoglossa cuna,-77.61345574,8.76037738
Bolitoglossa decora,-86.65070784,15.11375442
Bolitoglossa diaphora,-88.23808976,15.507426
Bolitoglossa dofleini,-89.34115872,15.75294919
Bolitoglossa engelhardti,-91.73437396,14.89577248
Bolitoglossa epimela,-83.65088924,9.80289399
Bolitoglossa equatoriana,-76.74511077,-0.57377901
Bolitoglossa flavimembris,-91.72664552,14.83831439
Bolitoglossa flaviventris,-92.25804575,15.06203028
Bolitoglossa franklini,-92.22121936,15.24228102
Bolitoglossa gomezi,-82.86591249,8.79241255
Bolitoglossa gracilis,-83.7272983,9.71408492
Bolitoglossa hartwegi,-91.68446402,15.93957695
Bolitoglossa heiroreias,-89.35816,14.43612766
Bolitoglossa helmrichi,-90.02581278,15.38714627
Bolitoglossa hermosa,-100.4936977,17.44040576
Bolitoglossa lincolni,-92.06347494,16.13078051
Bolitoglossa longissima,-85.9335734,14.96448658
Bolitoglossa macrinii,-96.83418077,16.03426005
Bolitoglossa marmorea,-82.61554515,8.84185325
Bolitoglossa medemi.1,-78.51283941,8.41569274
Bolitoglossa medemi.2,-76.63351772,5.92897954
Bolitoglossa meliana,-89.84126526,15.1430274
Bolitoglossa mexicana.1,-87.60951417,20.87224493
Bolitoglossa mexicana.2,-92.20560385,16.94934802
Bolitoglossa mexicana.3,-89.79024597,16.72576829
Bolitoglossa mexicana.4,-88.41996705,16.99891479
Bolitoglossa mexicana.5,-91.34106974,16.01349359
Bolitoglossa mexicana.6,-89.47100579,15.6682787
Bolitoglossa mexicana.7,-87.23568679,15.0257759
Bolitoglossa mexicana.8,-85.43205339,15.09598255
Bolitoglossa minutula,-82.68438819,8.94142362
Bolitoglossa mombachoensis,-85.91271742,11.77379401
Bolitoglossa morio,-90.7241808,14.70125143
Bolitoglossa mulleri,-90.39885898,15.67385942
Bolitoglossa nigrescens,-83.88240641,9.64790039
Bolitoglossa oaxacensis,-96.96551043,16.43873914
Bolitoglossa occidentalis.1,-93.29083509,16.02343421
Bolitoglossa occidentalis.2,-91.40100136,14.62395987
Bolitoglossa occidentalis.3,-87.75205595,14.46486549
Bolitoglossa orestes,-71.10893713,8.65731546
Bolitoglossa palmata.1,-77.83645002,-0.29860977
Bolitoglossa palmata.2,-78.20923276,-1.80863285
Bolitoglossa paraensis.1,-52.73484571,1.85329686
Bolitoglossa paraensis.2,-47.87508538,-0.56567037
Bolitoglossa paraensis.3,-47.73938511,-0.56080315
Bolitoglossa paraensis.4,-48.0739588,-1.15314868
Bolitoglossa paraensis.5,-47.18176576,-1.34310095
Bolitoglossa peruviana.1,-76.81448938,-1.24053325
Bolitoglossa peruviana.2,-77.05936408,-2.88357251
Bolitoglossa peruviana.3,-77.17607197,-5.94495679
Bolitoglossa pesrubra,-83.58458105,9.5187309
Bolitoglossa platydactyla.1,-97.49298997,20.16119108
Bolitoglossa platydactyla.2,-96.23232309,19.00974174
Bolitoglossa platydactyla.3,-96.55645182,18.60920637
Bolitoglossa platydactyla.4,-95.1705611,17.74223305
Bolitoglossa porrasorum,-87.21965128,15.42819051
Bolitoglossa riletti,-97.91449057,17.02086174
Bolitoglossa robusta,-83.98224686,9.95011977
Bolitoglossa rostrata,-91.66818392,15.40637476
Bolitoglossa rufescens.1,-97.71585265,20.46984876
Bolitoglossa rufescens.2,-96.40481528,18.41140959
Bolitoglossa rufescens.3,-94.59866565,17.56336383
Bolitoglossa rufescens.4,-92.18035424,17.06259986
Bolitoglossa rufescens.5,-89.58134176,16.75049858
Bolitoglossa rufescens.6,-88.32756733,16.73217571
Bolitoglossa rufescens.7,-91.17763242,16.16517412
Bolitoglossa rufescens.8,-89.61741283,15.95166382
Bolitoglossa rufescens.9,-87.19254574,15.23816056
Bolitoglossa schizodactyla.1,-81.93592892,9.03989276
Bolitoglossa schizodactyla.2,-79.8499902,9.04162904
Bolitoglossa sombra,-82.84488359,8.98246345
Bolitoglossa stuarti,-92.12840408,16.08405769
Bolitoglossa subpalmata,-84.29875564,10.19511032
Bolitoglossa suchitanensis,-89.779753,14.40320917
Bolitoglossa synoria,-89.08432488,14.35903534
Bolitoglossa tica,-83.93310015,9.71288509
Bolitoglossa yucatana.1,-89.26022906,20.99663848
Bolitoglossa yucatana.2,-87.65305783,20.74317605
Bolitoglossa zapoteca,-95.86582384,16.26635188
Chiropterotriton arboreus,-98.69005248,20.71077321
Chiropterotriton chondrostega,-99.23096338,21.30755244
Chiropterotriton cracens,-99.19754006,23.11603319
Chiropterotriton dimidiatus,-98.74072435,20.16200124
Chiropterotriton lavae,-96.99843076,19.59073518
Chiropterotriton magnipes,-99.17265327,21.28911638
Chiropterotriton mosaueri,-99.33884519,20.66614593
Chiropterotriton multidentatus,-99.62968421,22.32245696
Chiropterotriton priscus,-100.1427745,25.01451772
Cryptotriton alvarezdeltoroi,-92.87559276,17.17707167
Cryptotriton monzoni,-89.26327264,14.97670609
Cryptotriton nasalis,-88.20982222,15.51184304
Cryptotriton sierraminensis,-89.58574924,15.14250464
Cryptotriton veraepacis,-90.15804856,15.26857964
Dendrotriton bromeliacius,-91.82086127,14.92058125
Dendrotriton chujorum,-91.56480405,15.88976768
Dendrotriton cuchumatanus,-91.49448787,15.59201135
Dendrotriton kekchiorum,-90.84472833,15.44647288
Dendrotriton megarhinus,-93.60703635,16.20365398
Dendrotriton rabbi,-91.95624748,15.5212159
Dendrotriton sanctibarbarus,-88.12284327,14.91502588
Dendrotriton xolocalcae,-92.62949151,15.40553074
Desmognathus abditus,-84.96762474,35.84631205
Desmognathus aeneus.1,-87.00619001,33.6174023
Desmognathus aeneus.2,-84.46508287,34.50889419
Desmognathus apalachicolae,-84.83280361,31.05676758
Desmognathus auriculatus.1,-79.80212645,35.07563517
Desmognathus auriculatus.2,-77.983577,35.70301116
Desmognathus auriculatus.3,-95.22843064,32.99700941
Desmognathus auriculatus.4,-93.25864672,32.71277395
Desmognathus auriculatus.5,-89.84691465,32.74664767
Desmognathus auriculatus.6,-88.98414325,32.94004332
Desmognathus auriculatus.7,-82.7955693,32.73087124
Desmognathus auriculatus.8,-80.64200858,33.44046267
Desmognathus auriculatus.9,-78.61365198,34.22482686
Desmognathus auriculatus.10,-95.3011642,31.06256053
Desmognathus auriculatus.11,-93.25708103,31.05343701
Desmognathus auriculatus.12,-90.53116317,31.00065354
Desmognathus auriculatus.13,-88.43374988,31.09527669
Desmognathus auriculatus.14,-85.42119707,30.85780734
Desmognathus auriculatus.15,-83.14509656,31.02998643
Desmognathus auriculatus.16,-81.56254975,31.1453156
Desmognathus auriculatus.17,-95.03678512,29.65419093
Desmognathus auriculatus.18,-94.20372831,29.67702569
Desmognathus auriculatus.19,-90.39920052,29.48887536
Desmognathus auriculatus.20,-89.26487315,29.18841372
Desmognathus auriculatus.21,-85.16153135,29.71680607
Desmognathus auriculatus.22,-82.44060597,28.84513162
Desmognathus auriculatus.23,-81.43208449,28.6382739
Desmognathus brimleyorum.1,-94.9318462,34.5822862
Desmognathus brimleyorum.2,-93.17582521,34.66088695
Desmognathus carolinensis,-82.52083147,35.7426923
Desmognathus folkertsi,-83.93427478,34.75401985
Desmognathus imitator,-83.60252872,35.53100081
Desmognathus marmoratus,-83.23180841,35.44450898
Desmognathus monticola.1,-81.30117267,39.16616618
Desmognathus monticola.2,-79.56106142,40.02599291
Desmognathus monticola.3,-83.87408194,37.22310582
Desmognathus monticola.4,-82.13866138,37.46875211
Desmognathus monticola.5,-79.80775597,37.77222768
Desmognathus monticola.6,-86.40005589,34.60846653
Desmognathus monticola.7,-84.50206567,35.20568289
Desmognathus monticola.8,-82.50405527,35.63016588
Desmognathus monticola.9,-80.34884728,36.25562313
Desmognathus monticola.10,-86.91270335,32.54958045
Desmognathus monticola.11,-85.30130869,33.33279685
Desmognathus monticola.12,-83.32670741,33.9030309
Desmognathus ochrophaeus.1,-78.22247908,42.9337622
Desmognathus ochrophaeus.2,-75.94048898,43.24018981
Desmognathus ochrophaeus.3,-74.27318917,43.61163524
Desmognathus ochrophaeus.4,-80.55190333,41.20984543
Desmognathus ochrophaeus.5,-78.67191361,41.26069284
Desmognathus ochrophaeus.6,-76.29103851,41.53707969
Desmognathus ochrophaeus.7,-74.33715945,41.68384243
Desmognathus ochrophaeus.8,-83.36698298,37.97149025
Desmognathus ochrophaeus.9,-80.55269852,38.46245311
Desmognathus ochrophaeus.10,-79.21688454,39.13582354
Desmognathus ochrophaeus.11,-77.35679418,39.93499918
Desmognathus ochrophaeus.12,-83.6742612,36.69488314
Desmognathus ochrophaeus.13,-81.23625426,37.08658282
Desmognathus ochrophaeus.14,-79.89418425,37.46492686
Desmognathus ocoee.1,-84.57452595,34.81164609
Desmognathus ocoee.2,-83.1091442,35.07865858
Desmognathus orestes,-81.44981652,36.49687051
Desmognathus quadramaculatus.1,-82.96851595,36.10514092
Desmognathus quadramaculatus.2,-81.12212412,36.77091719
Desmognathus quadramaculatus.3,-83.65820566,35.04588794
Desmognathus quadramaculatus.4,-81.99513655,35.36418304
Desmognathus santeetlah,-83.55086889,35.57331121
Desmognathus welteri.1,-84.21911554,36.40627749
Desmognathus welteri.2,-81.97040182,36.97447989
Desmognathus wrighti,-82.67774212,35.734869
Ensatina eschscholtzii.1,-124.3811951,48.81955021
Ensatina eschscholtzii.2,-122.1209466,48.02076113
Ensatina eschscholtzii.3,-123.5536493,46.60084599
Ensatina eschscholtzii.4,-122.1605062,46.55881538
Ensatina eschscholtzii.5,-120.5783974,47.28375484
Ensatina eschscholtzii.6,-123.6471496,43.98199332
Ensatina eschscholtzii.7,-122.4850355,44.1868018
Ensatina eschscholtzii.8,-123.6863174,41.62115076
Ensatina eschscholtzii.9,-122.4395458,41.33686181
Ensatina eschscholtzii.10,-123.4928717,39.59266054
Ensatina eschscholtzii.11,-122.1152228,39.08508245
Ensatina eschscholtzii.12,-120.3865402,38.50147077
Ensatina eschscholtzii.13,-121.4210398,36.85450254
Ensatina eschscholtzii.14,-119.1552411,36.62081056
Ensatina eschscholtzii.15,-118.0271217,35.71603895
Ensatina eschscholtzii.16,-120.6936111,35.13706475
Ensatina eschscholtzii.17,-119.3324639,34.79006672
Ensatina eschscholtzii.18,-117.1227947,33.65152413
Ensatina eschscholtzii.19,-116.6902448,32.32528529
Eurycea chisholmensis,-97.46971849,30.99575404
Eurycea cirrigera.1,-87.56514648,40.21143648
Eurycea cirrigera.2,-85.55137968,40.22421416
Eurycea cirrigera.3,-82.85655006,39.84642561
Eurycea cirrigera.4,-81.22604138,40.02517376
Eurycea cirrigera.5,-89.20682269,37.19654913
Eurycea cirrigera.6,-87.64745923,37.88216759
Eurycea cirrigera.7,-85.41211442,37.97950365
Eurycea cirrigera.8,-82.91441988,37.97728404
Eurycea cirrigera.9,-80.41694925,37.55542222
Eurycea cirrigera.10,-77.9748093,37.57549564
Eurycea cirrigera.11,-89.70016955,35.09299347
Eurycea cirrigera.12,-87.89856148,35.46519188
Eurycea cirrigera.13,-85.41211442,35.47950365
