binomial,lon,lat
Batrachoseps altasierrae,-118.5781848,35.99883839
Batrachoseps bramei,-118.479463,35.8607247
Bolitoglossa nympha,-88.57863506,15.24090989
Bolitoglossa robinsoni,-82.90037955,9.12697972
Chiropterotriton miquihuanus,-99.78875764,23.79016989
Desmognathus conanti.1,-88.02160467,36.14552872
Desmognathus conanti.2,-84.32204846,35.15035757
Desmognathus conanti.3,-83.23280214,35.21557011
Desmognathus conanti.4,-92.6522,32.3000113
Desmognathus conanti.5,-87.59848691,34.15961516
Desmognathus conanti.6,-84.50127375,34.24689725
Desmognathus conanti.7,-82.66561186,33.80069007
Desmognathus conanti.8,-92.15218479,31.53550926
Desmognathus conanti.9,-90.1619439,30.93938175
Desmognathus conanti.10,-87.30798923,30.89529094
Desmognathus conanti.11,-85.82050038,30.62976571
Desmognathus organi,-81.92247884,36.16097315
Desmognathus planiceps,-80.18622543,36.91338025
Eurycea aquatica,-86.54760664,33.90544603
Eurycea chamberlaini.1,-80.97718565,34.18179365
Eurycea chamberlaini.2,-78.77231525,35.31566253
Eurycea longicauda melanopleura.1,-88.26879,41.88391
Eurycea longicauda melanopleura.2,-93.21194943,37.80463563
Eurycea longicauda melanopleura.3,-90.63337856,38.27269343
Eurycea longicauda melanopleura.4,-95.04496712,36.14716917
Eurycea longicauda melanopleura.5,-94.75470752,36.1752129
Eurycea longicauda melanopleura.6,-91.7736,35.875
Oedipina nica,-85.77784229,13.30096554
Plethodon chattahoochee,-83.87035504,34.95124658
Plethodon chlorobryonis.1,-79.08176972,35.21734135
Plethodon chlorobryonis.2,-77.15693638,36.13191504
Plethodon chlorobryonis.3,-82.15485578,34.21666243
Plethodon chlorobryonis.4,-79.8346205,34.02308642
Plethodon chlorobryonis.5,-77.89261749,34.62867665
Plethodon grobmani.1,-86.35765739,31.88373242
Plethodon grobmani.2,-84.03486286,31.77504566
Plethodon grobmani.3,-82.80028944,32.01917288
Plethodon grobmani.4,-86.51276011,30.92746921
Plethodon grobmani.5,-84.09937998,30.65980263
Plethodon grobmani.6,-82.2326758,30.03484181
Plethodon grobmani.7,-81.86047991,28.44610723
Plethodon mississippi.1,-89.56054832,35.11036695
Plethodon mississippi.2,-88.41088301,35.45620284
Plethodon mississippi.3,-89.48488282,33.71939425
Plethodon mississippi.4,-87.95563409,33.63887188
Plethodon mississippi.5,-89.97169143,31.25850188
Plethodon mississippi.6,-88.47831231,31.59020275
Plethodon ocmulgee,-82.45692965,32.38191335
Plethodon variolatus,-80.07737458,33.68981303
Batrachoseps regius,-118.9302723,36.74529069
Batrachoseps relictus.1,-121.1261258,36.20295357
Batrachoseps relictus.2,-118.675242,35.96328918
Batrachoseps relictus.3,-119.7017494,34.00959535
Batrachoseps relictus.4,-115.4585419,30.81056961
Bolitoglossa dunni,-88.77144801,15.01485187
Bolitoglossa odonnelli.1,-89.33444181,15.29291745
Bolitoglossa odonnelli.2,-85.9,14.8
Bradytriton silus,-91.64922609,16.28613093
Desmognathus fuscus.1,-74.70953126,44.99605015
Desmognathus fuscus.2,-72.67023652,45.64642372
Desmognathus fuscus.3,-70.79651228,46.01364055
Desmognathus fuscus.4,-68.3764586,46.12912702
Desmognathus fuscus.5,-65.95728338,46.12716525
Desmognathus fuscus.6,-78.00584538,42.87293363
Desmognathus fuscus.7,-75.59171003,43.48369036
Desmognathus fuscus.8,-73.34985469,43.73692968
Desmognathus fuscus.9,-71.04100486,43.90999004
Desmognathus fuscus.10,-68.59944116,44.6223212
Desmognathus fuscus.11,-67.05113967,44.86237113
Desmognathus fuscus.12,-85.09545057,40.12677003
Desmognathus fuscus.13,-82.55277234,40.63697414
Desmognathus fuscus.14,-80.75193363,40.95290015
Desmognathus fuscus.15,-78.3463587,41.23334013
Desmognathus fuscus.16,-75.84985469,41.23692968
Desmognathus fuscus.17,-73.54255043,41.59685161
Desmognathus fuscus.18,-71.36250698,41.94192465
Desmognathus fuscus.19,-89.63126235,37.82327546
Desmognathus fuscus.20,-88.88419658,37.70108024
Desmognathus fuscus.21,-85.54710626,38.64380277
Desmognathus fuscus.22,-83.31413,38.65088083
Desmognathus fuscus.23,-80.84985469,38.73692968
Desmognathus fuscus.24,-78.35308291,38.73773524
Desmognathus fuscus.25,-76.19058184,38.93285125
Desmognathus fuscus.26,-74.38092162,39.78907424
Desmognathus fuscus.27,-90.67797799,35.20325712
Desmognathus fuscus.28,-88.237454,36.10909997
Desmognathus fuscus.29,-85.82774759,36.2145918
Desmognathus fuscus.30,-83.34985469,36.23692968
Desmognathus fuscus.31,-80.84985469,36.23692968
Desmognathus fuscus.32,-78.34985469,36.23692968
Desmognathus fuscus.33,-76.5994652,36.34501518
Desmognathus fuscus.34,-93.02061794,33.19064297
Desmognathus fuscus.35,-90.40696968,33.48392346
Desmognathus fuscus.36,-88.34985469,33.73692968
Desmognathus fuscus.37,-85.84985469,33.73692968
Desmognathus fuscus.38,-83.38117726,33.78392873
