x,y,species min
195.0,195.0,1.2060069E-6
196.0,196.0,0.0050378554
197.0,197.0,3.3996403E-6
198.0,198.0,5.3952573E-7
199.0,199.0,1.0368104E-6
200.0,200.0,5.401266E-10
201.0,201.0,7.134357E-8
202.0,202.0,3.6365036E-5
203.0,203.0,8.077749E-4
204.0,204.0,1.7894401E-5
205.0,205.0,9.8195345E-9
206.0,206.0,9.912234E-6
207.0,207.0,6.650558E-5
208.0,208.0,0.78071505
209.0,209.0,0.002200228
210.0,210.0,1.7266188E-12
211.0,211.0,1.2495046E-5
212.0,212.0,3.110951E-7
213.0,213.0,4.663255E-6
214.0,214.0,4.6280772E-7
215.0,215.0,2.716205E-11
216.0,216.0,5.70628E-11
217.0,217.0,2.8133917E-10
218.0,218.0,8.178622E-9
219.0,219.0,8.403867E-8
220.0,220.0,0.10778645
221.0,221.0,1.8212738E-7
222.0,222.0,4.6429137E-5
223.0,223.0,2.0459218E-5
224.0,224.0,4.9918974E-8
225.0,225.0,5.4687125E-6
226.0,226.0,4.8496318E-6
227.0,227.0,1.7785491E-6
228.0,228.0,3.041192E-7
229.0,229.0,3.2438064E-7
230.0,230.0,9.484294E-4
231.0,231.0,8.4998115E-5
232.0,232.0,7.1603805E-4
233.0,233.0,2.7112708E-5
234.0,234.0,1.1419765E-10
235.0,235.0,6.0318316E-6
236.0,236.0,7.351053E-6
237.0,237.0,6.65082E-4
238.0,238.0,1.8259986E-8
239.0,239.0,2.714098E-9
240.0,240.0,0.0019601125
241.0,241.0,0.025246356
242.0,242.0,0.0047441376
243.0,243.0,0.0121082775
244.0,244.0,8.441166E-7
245.0,245.0,0.31728727
246.0,246.0,3.0464898E-5
247.0,247.0,1.5371103E-5
248.0,248.0,1.1545382E-5
249.0,249.0,5.963244E-8
250.0,250.0,3.1175394E-5
251.0,251.0,9.855587E-5
252.0,252.0,5.5950755E-7
253.0,253.0,0.04477129
254.0,254.0,0.002182734
255.0,255.0,6.683122E-7
256.0,256.0,9.4109054E-11
257.0,257.0,3.0442621E-5
258.0,258.0,2.1911615E-4
259.0,259.0,7.747121E-6
260.0,260.0,0.0012231226
261.0,261.0,1.0838975E-5
262.0,262.0,1.4010213E-7
263.0,263.0,3.339401E-4
264.0,264.0,1.14822375E-4
265.0,265.0,1.6923421E-7
266.0,266.0,1.7496233E-5
267.0,267.0,4.944226E-4
268.0,268.0,2.6446793E-5
269.0,269.0,8.5260086E-7
270.0,270.0,4.3467785E-11
271.0,271.0,2.2849342E-4
272.0,272.0,3.3831995E-5
273.0,273.0,4.418269E-7
274.0,274.0,1.5688616E-5
275.0,275.0,3.558979E-6
276.0,276.0,3.714362E-5
277.0,277.0,0.61999214
278.0,278.0,1.3103357E-7
279.0,279.0,2.981137E-7
280.0,280.0,5.9119266E-5
281.0,281.0,9.16134E-9
282.0,282.0,0.55927914
283.0,283.0,7.918793E-9
284.0,284.0,4.1932907E-7
285.0,285.0,2.6332543E-6
286.0,286.0,3.1255213E-6
287.0,287.0,2.3465834E-6
288.0,288.0,1.07095584E-4
289.0,289.0,2.4652968E-7
290.0,290.0,1.4622402E-9
291.0,291.0,5.3228927E-8
292.0,292.0,9.886038E-6
293.0,293.0,2.867484E-12
294.0,294.0,2.0744119E-7
295.0,295.0,0.001461477
296.0,296.0,8.718908E-10
297.0,297.0,1.3225454E-5
298.0,298.0,8.626715E-4
299.0,299.0,6.5078165E-11
300.0,300.0,2.1033901E-7
301.0,301.0,2.9635272E-8
302.0,302.0,6.548138E-7
303.0,303.0,0.66743594
304.0,304.0,0.013607592
305.0,305.0,6.659029E-7
306.0,306.0,2.2937374E-7
307.0,307.0,1.030735E-9
308.0,308.0,8.10334E-7
309.0,309.0,5.750162E-5
