$method
[1] "niche identity test"

$null
[1] "niche models are identical"

$statistic
        D         I 
0.3415582 0.6080791 

$p.value
D I 
1 1 

$null.distribution
               D         I
  [1,] 0.8571442 0.9822574
  [2,] 0.8683732 0.9859571
  [3,] 0.8619804 0.9819713
  [4,] 0.8775430 0.9876188
  [5,] 0.8762041 0.9854261
  [6,] 0.8531313 0.9834418
  [7,] 0.8673990 0.9833391
  [8,] 0.8539994 0.9807415
  [9,] 0.8681092 0.9840992
 [10,] 0.8447543 0.9795294
 [11,] 0.8589542 0.9817186
 [12,] 0.8541079 0.9806519
 [13,] 0.8746529 0.9865694
 [14,] 0.8686385 0.9851241
 [15,] 0.8582639 0.9839594
 [16,] 0.8358529 0.9793886
 [17,] 0.8501205 0.9788272
 [18,] 0.8439841 0.9777187
 [19,] 0.8879387 0.9888879
 [20,] 0.8437154 0.9791402
 [21,] 0.8658542 0.9838235
 [22,] 0.8630139 0.9841212
 [23,] 0.8462854 0.9778498
 [24,] 0.8933027 0.9898995
 [25,] 0.8389661 0.9778225
 [26,] 0.8696479 0.9843466
 [27,] 0.8763369 0.9858374
 [28,] 0.8610116 0.9844995
 [29,] 0.8798016 0.9871910
 [30,] 0.8436872 0.9796512
 [31,] 0.8601381 0.9828321
 [32,] 0.8786522 0.9865325
 [33,] 0.8766912 0.9853886
 [34,] 0.8650282 0.9844548
 [35,] 0.8311012 0.9742321
 [36,] 0.8502684 0.9797211
 [37,] 0.8466218 0.9804590
 [38,] 0.8391727 0.9769681
 [39,] 0.8590419 0.9824250
 [40,] 0.8518021 0.9815592
 [41,] 0.8664316 0.9835145
 [42,] 0.8591844 0.9835554
 [43,] 0.8535850 0.9814527
 [44,] 0.8757417 0.9868278
 [45,] 0.8326330 0.9762224
 [46,] 0.8467506 0.9816105
 [47,] 0.8306488 0.9773507
 [48,] 0.8606402 0.9828020
 [49,] 0.8645214 0.9844740
 [50,] 0.8598547 0.9813106
 [51,] 0.8696434 0.9832669
 [52,] 0.8640159 0.9847361
 [53,] 0.8588322 0.9794166
 [54,] 0.8857797 0.9881214
 [55,] 0.8613525 0.9844965
 [56,] 0.8734817 0.9864385
 [57,] 0.8632231 0.9831360
 [58,] 0.8763610 0.9861716
 [59,] 0.8547687 0.9838742
 [60,] 0.8421904 0.9772112
 [61,] 0.8665711 0.9849343
 [62,] 0.8665374 0.9836811
 [63,] 0.8558511 0.9826308
 [64,] 0.8637822 0.9842995
 [65,] 0.8641364 0.9838402
 [66,] 0.8679733 0.9835201
 [67,] 0.8736934 0.9856556
 [68,] 0.8459459 0.9796142
 [69,] 0.8648632 0.9846067
 [70,] 0.8924932 0.9892948
 [71,] 0.8673971 0.9843018
 [72,] 0.8462396 0.9802961
 [73,] 0.8451142 0.9815402
 [74,] 0.8589721 0.9837772
 [75,] 0.8454707 0.9799001
 [76,] 0.8749849 0.9857823
 [77,] 0.8609384 0.9842343
 [78,] 0.8408622 0.9789769
 [79,] 0.8424480 0.9803671
 [80,] 0.8618301 0.9847202
 [81,] 0.8793618 0.9869264
 [82,] 0.8587635 0.9826272
 [83,] 0.8507563 0.9811337
 [84,] 0.8399926 0.9795978
 [85,] 0.8505580 0.9803463
 [86,] 0.8698923 0.9850453
 [87,] 0.8559100 0.9810281
 [88,] 0.8365066 0.9762169
 [89,] 0.8697528 0.9860203
 [90,] 0.8656980 0.9843252
 [91,] 0.8904441 0.9886562
 [92,] 0.8780522 0.9869355
 [93,] 0.8536884 0.9817111
 [94,] 0.8550816 0.9803277
 [95,] 0.8657417 0.9837363
 [96,] 0.8646145 0.9827063
 [97,] 0.8647757 0.9832161
 [98,] 0.8874678 0.9887991
 [99,] 0.8904099 0.9894967
[100,] 0.8711529 0.9852302

attr(,"class")
[1] "ntest"
