x,y,species median
1.0,1.0,0.19767027
2.0,2.0,1.8613867E-4
3.0,3.0,8.690157E-4
4.0,4.0,0.012164404
5.0,5.0,1.04513944E-7
6.0,6.0,9.006825E-5
7.0,7.0,4.0918738E-7
8.0,8.0,0.09113205
9.0,9.0,0.8238539
10.0,10.0,6.144886E-6
11.0,11.0,0.0010991084
12.0,12.0,0.7980081
13.0,13.0,0.016851187
14.0,14.0,0.7499468
15.0,15.0,5.7589936E-5
16.0,16.0,0.0011073161
17.0,17.0,0.025074547
18.0,18.0,5.39337E-4
19.0,19.0,0.004576283
20.0,20.0,5.0784485E-5
21.0,21.0,3.8088433E-4
22.0,22.0,0.0014479711
23.0,23.0,2.1661119E-5
24.0,24.0,1.298412E-4
25.0,25.0,0.079204775
26.0,26.0,9.923247E-6
27.0,27.0,0.0068141827
28.0,28.0,8.0158134E-5
29.0,29.0,0.035337746
30.0,30.0,0.009155329
31.0,31.0,8.693938E-6
32.0,32.0,0.92375344
33.0,33.0,0.0077077197
34.0,34.0,0.0014044783
35.0,35.0,0.08478753
36.0,36.0,1.2609871E-5
37.0,37.0,4.814184E-4
38.0,38.0,0.21265946
39.0,39.0,0.4523249
40.0,40.0,2.8670536E-4
41.0,41.0,8.985069E-4
42.0,42.0,0.098892026
43.0,43.0,5.947057E-4
44.0,44.0,0.0012904892
45.0,45.0,0.015433751
46.0,46.0,0.0040529384
47.0,47.0,0.11591509
48.0,48.0,0.04216459
49.0,49.0,0.053606
50.0,50.0,0.004235674
51.0,51.0,3.0673668E-4
52.0,52.0,1.4790519E-4
53.0,53.0,0.07549758
54.0,54.0,2.8025292E-4
55.0,55.0,2.462678E-5
56.0,56.0,0.0034010704
57.0,57.0,0.92702556
58.0,58.0,0.012078711
59.0,59.0,8.759558E-7
60.0,60.0,0.0331674
61.0,61.0,0.09299598
62.0,62.0,0.0023268398
63.0,63.0,7.305295E-4
64.0,64.0,2.2543363E-4
65.0,65.0,3.1324107E-5
66.0,66.0,0.096515834
67.0,67.0,0.034253936
68.0,68.0,0.0065027885
69.0,69.0,0.012482159
70.0,70.0,0.0020926688
71.0,71.0,0.09533143
72.0,72.0,3.083527E-5
73.0,73.0,0.09521621
74.0,74.0,1.9650442E-4
75.0,75.0,0.84842825
