gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1500315469																										5961156										http://creativecommons.org/publicdomain/zero/1.0/			2017-04-26T03:46:34Z			https://www.inaturalist.org/observations/5961156				by Tony Wood no rights reserved	Tony Wood												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/5961156	5961156		Tony Wood								wild																					2015-08-03T12:06:00-06:00	18:06:00Z						2015/08/03 12:06 PM MDT																CA					Lake O'Hara, Columbia-Shuswap A, BC V0A, Canada											51.3559752	-116.3302721		465																																			12286953				2017-04-26T02:08:59Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1500315365																										5960846										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-26T01:48:30Z			https://www.inaturalist.org/observations/5960846				© Mike V.A. Burrell some rights reserved	Mike V.A. Burrell												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://inaturalist.ca/observations/5960846	5960846		Mike V.A. Burrell								wild																					2008-06-21T11:35:00-04:00	15:35:00Z						2008/06/21 11:35 AM EDT																CA					Banff, AB, Canada											51.1783629	-115.5707694		2467																																			12286080				2017-04-26T01:44:18Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1500315360																										5960848										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-26T01:48:32Z			https://www.inaturalist.org/observations/5960848				© Mike V.A. Burrell some rights reserved	Mike V.A. Burrell												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://inaturalist.ca/observations/5960848	5960848		Mike V.A. Burrell								wild																					2008-06-21							2008-06-21																CA					Banff, AB, Canada											51.1783629	-115.5707694		2467																																			12286083				2017-04-26T01:44:19Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1500315355																										5960847										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-26T01:48:37Z			https://www.inaturalist.org/observations/5960847				© Mike V.A. Burrell some rights reserved	Mike V.A. Burrell												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://inaturalist.ca/observations/5960847	5960847		Mike V.A. Burrell								wild																					2008-06-21T16:36:00-04:00	20:36:00Z						2008/06/21 4:36 PM EDT																CA					Banff, AB, Canada											51.1783629	-115.5707694		2467																																			12286082				2017-04-26T01:44:18Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1500315334																										5960845										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-27T02:17:55Z			https://www.inaturalist.org/observations/5960845				© Mike V.A. Burrell some rights reserved	Mike V.A. Burrell												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://inaturalist.ca/observations/5960845	5960845		Mike V.A. Burrell								wild																					2008-06-20T19:55:00-04:00	23:55:00Z						2008/06/20 7:55 PM EDT																CA					Highway 93, Jasper, AB T0E, Canada											52.220317	-117.2243341		173																																			12286079				2017-04-26T01:44:17Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1500315272																										5960844										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-26T01:48:16Z			https://www.inaturalist.org/observations/5960844				© Mike V.A. Burrell some rights reserved	Mike V.A. Burrell												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://inaturalist.ca/observations/5960844	5960844		Mike V.A. Burrell								wild																					2008-06-21							2008-06-21																CA					Banff, AB, Canada											51.1783629	-115.5707694		2467																																			12286078				2017-04-26T01:44:17Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1457621375																										5610595										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-08T17:20:29Z			https://www.inaturalist.org/observations/5610595				© Nicholas Sly some rights reserved	Nicholas Sly												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/5610595	5610595		Nicholas Sly								wild																					2017-04-02T14:05:00-06:00	20:05:00Z						2017/04/02 2:05 PM MDT																US					Duck Pond, Missoula, MT, USA											46.8383499661	-114.0106201191		194																																			11615792				2017-04-08T14:06:39Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1457621325																										5610596										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-08T17:20:32Z			https://www.inaturalist.org/observations/5610596				© Nicholas Sly some rights reserved	Nicholas Sly												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/5610596	5610596		Nicholas Sly								wild																					2017-04-02T14:48:00-06:00	20:48:00Z						2017/04/02 2:48 PM MDT																US					Lee Metcalf NWR, Ravalli County, MT, USA											46.5595684971	-114.0844343375		1539																																			11615793				2017-04-08T14:06:40Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1457589248																										5515353										http://creativecommons.org/licenses/by-nc/4.0/			2017-03-31T13:59:00Z			https://www.inaturalist.org/observations/5515353				© cloudya some rights reserved	cloudya												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/5515353	5515353		cloudya								wild																					2015-07-29T17:29:00-10:00	03:29:00Z						2015/07/29 5:29 PM HST																US					Glacier County, Montana, USA											48.6417495675	-113.6906797591		11768																																			11397470				2017-03-31T04:30:33Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
1457583858																										4848909										http://creativecommons.org/licenses/by-nc/4.0/			2017-04-11T04:43:30Z			https://www.inaturalist.org/observations/4848909				© Kristin some rights reserved	Kristin												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 26887m to protect threatened taxon			https://www.inaturalist.org/observations/4848909	4848909		Kristin								wild																					2014-05-27T02:50:00-07:00	09:50:00Z						2014/05/27 2:50 AM PDT																US					Washington, US											47.0717341275	-119.960245821		26887																																			9700022				2016-12-27T05:45:06Z				179998								Urocitellus columbianus								Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus				species							
