gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1571177692	StillImage	image/jpeg	https://static.inaturalist.org/photos/8617127/original.jpg?1498324465	http://inaturalist.ca/photos/8617127			2017-06-03T16:30Z	Yousif Attia		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Yousif Attia
1571173508	StillImage	image/jpeg	https://static.inaturalist.org/photos/8597378/original.jpg?1498228372	http://inaturalist.ca/photos/8597378			2017-06-23T01:58Z	Carey B		iNaturalist			http://creativecommons.org/licenses/by-nc-nd/4.0/	Carey B
1571153940	StillImage	image/jpeg	https://static.inaturalist.org/photos/8512767/original.jpeg?1497824473	http://inaturalist.ca/photos/8512767			2017-06-18T21:57Z	macleancockell		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	macleancockell
1571149711	StillImage	image/jpeg	https://static.inaturalist.org/photos/8493595/original.jpeg?1497743893	https://www.inaturalist.org/photos/8493595			2016-07-23T21:45Z	Nicholas Sly		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nicholas Sly
1571149565	StillImage	image/jpeg	https://static.inaturalist.org/photos/8493298/original.jpeg?1497742633	https://www.inaturalist.org/photos/8493298			2016-04-10T22:51Z	Nicholas Sly		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nicholas Sly
1571130535	StillImage	image/jpeg	https://static.inaturalist.org/photos/8408020/original.jpg?1497331864	https://www.inaturalist.org/photos/8408020			2017-06-13T01:20Z	rhyax		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	rhyax
1571118250	StillImage	image/jpeg	https://static.inaturalist.org/photos/8348838/original.jpeg?1497129394	https://www.inaturalist.org/photos/8348838			2017-06-07T01:23Z	Brandon Hawn		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Brandon Hawn
1571118250	StillImage	image/jpeg	https://static.inaturalist.org/photos/8348847/original.jpeg?1497129411	https://www.inaturalist.org/photos/8348847			2017-06-07T01:49Z	Brandon Hawn		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Brandon Hawn
1571079454	StillImage	image/jpeg	https://static.inaturalist.org/photos/8154844/original.jpg?1496287867	https://www.inaturalist.org/photos/8154844			2009-07-30T22:35Z	lisapoir		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	lisapoir
1562895832	StillImage	image/jpeg	https://static.inaturalist.org/photos/7633035/original.jpeg?1494003907	https://www.inaturalist.org/photos/7633035			2016-08-14T02:21Z	cuihenggang		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	cuihenggang
1500324174	StillImage	image/jpeg	https://static.inaturalist.org/photos/7487873/original.jpg?1493336511	http://inaturalist.ca/photos/7487873			2006-04-27T19:07Z	Mark Olivier		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Mark Olivier
1500315365	StillImage	image/jpeg	https://static.inaturalist.org/photos/7447260/original.jpg?1493170591	http://inaturalist.ca/photos/7447260			2008-06-21T20:35Z	Mike V.A. Burrell		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Mike V.A. Burrell
1500315365	StillImage	image/jpeg	https://static.inaturalist.org/photos/7447261/original.jpg?1493170603	http://inaturalist.ca/photos/7447261			2008-06-21T20:35Z	Mike V.A. Burrell		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Mike V.A. Burrell
1500315360	StillImage	image/jpeg	https://static.inaturalist.org/photos/7447264/original.jpg?1493170611	http://inaturalist.ca/photos/7447264			2000-01-01T09:00Z	Mike V.A. Burrell		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Mike V.A. Burrell
