x,y,species cloglog values
1.0,1.0,0.0017429986
2.0,2.0,0.365281
3.0,3.0,3.0283667E-5
4.0,4.0,0.21204582
5.0,5.0,0.26526397
6.0,6.0,0.007198508
7.0,7.0,1.6824843E-5
8.0,8.0,9.335046E-5
9.0,9.0,0.14581506
10.0,10.0,4.8058465E-4
11.0,11.0,1.9440376E-5
12.0,12.0,0.23167884
13.0,13.0,0.28147358
14.0,14.0,4.146839E-5
15.0,15.0,0.26481634
16.0,16.0,5.717553E-6
17.0,17.0,0.09739755
18.0,18.0,0.39146897
19.0,19.0,0.23860782
20.0,20.0,0.08879923
21.0,21.0,0.006042492
22.0,22.0,0.24130608
23.0,23.0,0.07918483
24.0,24.0,0.38808483
25.0,25.0,0.58369845
26.0,26.0,0.0036907205
27.0,27.0,1.1031169E-5
28.0,28.0,5.362851E-5
29.0,29.0,0.019948468
30.0,30.0,1.5759498E-7
31.0,31.0,0.18366653
32.0,32.0,3.236642E-5
33.0,33.0,0.005253381
34.0,34.0,0.011496876
35.0,35.0,0.99990344
36.0,36.0,0.057009317
37.0,37.0,0.44060397
38.0,38.0,0.13162522
39.0,39.0,0.07637427
40.0,40.0,0.5848823
41.0,41.0,7.2329975E-5
42.0,42.0,0.0020873004
43.0,43.0,0.11655055
44.0,44.0,0.22775544
45.0,45.0,0.24685176
46.0,46.0,2.3932164E-4
47.0,47.0,0.45855767
48.0,48.0,0.06628272
49.0,49.0,0.6856708
50.0,50.0,0.38833752
51.0,51.0,0.02940586
52.0,52.0,2.7936347E-5
53.0,53.0,0.24379887
54.0,54.0,0.090300605
55.0,55.0,0.11417642
56.0,56.0,0.008841098
57.0,57.0,0.3844447
58.0,58.0,0.09039326
59.0,59.0,0.012047751
60.0,60.0,0.20676726
61.0,61.0,7.1427865E-5
62.0,62.0,0.24569461
63.0,63.0,1.39022395E-5
64.0,64.0,0.4116034
65.0,65.0,0.6856759
66.0,66.0,1.0215619E-4
67.0,67.0,6.675596E-5
68.0,68.0,0.4270157
69.0,69.0,0.2740503
70.0,70.0,0.07197271
71.0,71.0,2.0499983E-6
72.0,72.0,0.3671595
73.0,73.0,0.06633851
74.0,74.0,0.29011473
75.0,75.0,0.3283744
76.0,76.0,0.0010507477
77.0,77.0,0.037019107
78.0,78.0,1.7494363E-4
79.0,79.0,0.020162458
80.0,80.0,0.0016598835
81.0,81.0,0.3473978
82.0,82.0,0.0737949
83.0,83.0,0.55660844
84.0,84.0,0.24985594
85.0,85.0,3.8372714E-4
86.0,86.0,7.7616605E-6
87.0,87.0,0.9353287
88.0,88.0,0.008953591
89.0,89.0,0.36676693
90.0,90.0,0.07098631
91.0,91.0,4.123474E-6
92.0,92.0,0.6441863
93.0,93.0,5.389422E-4
94.0,94.0,0.0021112945
95.0,95.0,0.0014754304
96.0,96.0,0.0017920256
97.0,97.0,0.2157645
98.0,98.0,0.24326882
99.0,99.0,0.3217798
100.0,100.0,0.79508233
101.0,101.0,8.911543E-6
102.0,102.0,8.1673825E-6
103.0,103.0,0.17386436
104.0,104.0,2.5939184E-7
105.0,105.0,5.8655354E-7
106.0,106.0,2.7451267E-6
107.0,107.0,0.24215753
108.0,108.0,5.1495613E-6
109.0,109.0,8.9817095E-6
110.0,110.0,4.3704404E-5
111.0,111.0,0.0022848174
112.0,112.0,0.10759798
113.0,113.0,0.120300554
114.0,114.0,0.06231495
115.0,115.0,0.0018366873
116.0,116.0,0.2603181
117.0,117.0,1.2634319E-5
118.0,118.0,0.0058599785
119.0,119.0,0.0014995794
120.0,120.0,0.23094636
121.0,121.0,0.09449563
122.0,122.0,0.14596285
123.0,123.0,2.293649E-4
124.0,124.0,0.5827985
125.0,125.0,0.09558103
126.0,126.0,0.3571798
127.0,127.0,0.24362244
128.0,128.0,4.8774236E-4
129.0,129.0,6.129654E-4
130.0,130.0,0.42581698
131.0,131.0,0.034246024
132.0,132.0,7.804515E-5
133.0,133.0,0.87053674
134.0,134.0,2.2043676E-5
135.0,135.0,0.26056042
136.0,136.0,0.044629816
137.0,137.0,0.24693671
138.0,138.0,0.25562748
139.0,139.0,0.041699745
140.0,140.0,0.06572876
141.0,141.0,0.19535427
142.0,142.0,0.25236598
143.0,143.0,1.298372E-7
144.0,144.0,6.561051E-7
145.0,145.0,0.46807703
146.0,146.0,0.2612815
147.0,147.0,0.9999946
148.0,148.0,0.049897477
149.0,149.0,0.0011994597
150.0,150.0,0.31217727
151.0,151.0,0.025663937
152.0,152.0,7.1999966E-6
153.0,153.0,0.26487494
154.0,154.0,0.320583
155.0,155.0,8.3211827E-4
156.0,156.0,0.0013893644
157.0,157.0,0.08241197
158.0,158.0,0.27295834
159.0,159.0,5.362819E-5
160.0,160.0,7.068695E-4
161.0,161.0,9.555479E-7
162.0,162.0,6.264987E-4
163.0,163.0,0.011733229
164.0,164.0,0.013529268
165.0,165.0,1.7507266E-5
166.0,166.0,0.64862984
167.0,167.0,0.22655849
168.0,168.0,6.3182604E-8
169.0,169.0,0.16803674
170.0,170.0,0.29758826
171.0,171.0,0.013967883
172.0,172.0,0.27930057
173.0,173.0,0.667227
174.0,174.0,7.1694453E-6
175.0,175.0,6.1831257E-4
176.0,176.0,0.2246017
177.0,177.0,0.21154185
178.0,178.0,7.690864E-6
179.0,179.0,0.14814182
180.0,180.0,0.17746298
181.0,181.0,4.886182E-7
182.0,182.0,0.006225329
183.0,183.0,0.002251906
184.0,184.0,0.15658186
185.0,185.0,0.061239347
186.0,186.0,0.3294382
187.0,187.0,0.04279643
188.0,188.0,0.121173024
189.0,189.0,0.72317773
190.0,190.0,0.0056330776
191.0,191.0,0.050689407
192.0,192.0,0.38369077
193.0,193.0,0.15646207
194.0,194.0,5.1028916E-8
195.0,195.0,0.0014774094
196.0,196.0,0.23593062
197.0,197.0,0.32024717
198.0,198.0,0.012092788
199.0,199.0,0.090768285
200.0,200.0,0.019535663
201.0,201.0,0.0054590176
202.0,202.0,0.018220272
203.0,203.0,0.25937796
204.0,204.0,0.24984697
205.0,205.0,0.2610871
206.0,206.0,0.35207155
207.0,207.0,0.15599534
208.0,208.0,0.17376314
209.0,209.0,0.24860038
210.0,210.0,0.29498172
211.0,211.0,0.27464244
212.0,212.0,9.639804E-4
213.0,213.0,0.020033944
214.0,214.0,8.737088E-6
215.0,215.0,0.05773856
216.0,216.0,0.031392872
217.0,217.0,3.1387008E-4
218.0,218.0,2.5475474E-5
219.0,219.0,0.17722957
220.0,220.0,2.0620603E-6
221.0,221.0,0.010694141
222.0,222.0,0.011258819
223.0,223.0,1.5054949E-6
