AUC,Maxent Run,Maxent_#
0.838,Dirt_lenient,8
0.817,Dirt_lenient,9
0.901,Veg_lenient,0
0.916,Veg_lenient,1
0.91,Veg_lenient,2
0.919,Veg_lenient,3
0.919,Veg_lenient,4
0.935,Veg_lenient,5
0.911,Veg_lenient,6
0.909,Veg_lenient,7
0.929,Veg_lenient,8
0.913,Veg_lenient,9
0.905,Rock_lenient,0
0.905,Rock_lenient,1
0.906,Rock_lenient,2
0.902,Rock_lenient,3
0.916,Rock_lenient,4
0.905,Rock_lenient,5
0.912,Rock_lenient,6
0.908,Rock_lenient,7
0.903,Rock_lenient,8
0.91,Rock_lenient,9
0.872,Water_leneint,0
0.875,Water_leneint,1
0.873,Water_leneint,2
0.863,Water_leneint,3
0.867,Water_leneint,4
0.865,Water_leneint,5
0.873,Water_leneint,6
0.873,Water_leneint,7
0.873,Water_leneint,8
0.866,Water_leneint,9
0.906,Arb_7L,0
0.929,Arb_7L,1
0.943,Arb_7L,2
0.934,Arb_7L,3
0.939,Arb_7L,4
0.948,Arb_7L,5
0.934,Arb_7L,6
0.919,Arb_7L,7
0.945,Arb_7L,8
0.948,Arb_7L,9
0.956,Arb_7M,0
0.938,Arb_7M,1
0.948,Arb_7M,2
0.946,Arb_7M,3
0.935,Arb_7M,4
0.952,Arb_7M,5
0.939,Arb_7M,6
0.93,Arb_7M,7
0.95,Arb_7M,8
0.947,Arb_7M,9
0.945,Aqua_7L,0
0.943,Aqua_7L,1
0.943,Aqua_7L,2
0.941,Aqua_7L,3
0.941,Aqua_7L,4
0.943,Aqua_7L,5
0.937,Aqua_7L,6
0.942,Aqua_7L,7
0.951,Aqua_7L,8
0.948,Aqua_7L,9
0.939,Aqua_7M,0
0.94,Aqua_7M,1
0.94,Aqua_7M,2
0.936,Aqua_7M,3
0.939,Aqua_7M,4
0.942,Aqua_7M,5
0.935,Aqua_7M,6
0.939,Aqua_7M,7
0.946,Aqua_7M,8
0.944,Aqua_7M,9
0.939,Cave_7L,0
0.938,Cave_7L,1
0.936,Cave_7L,2
0.933,Cave_7L,3
0.94,Cave_7L,4
0.933,Cave_7L,5
0.936,Cave_7L,6
0.944,Cave_7L,7
0.943,Cave_7L,8
0.941,Cave_7L,9
0.975,Cave_7M,0
0.972,Cave_7M,1
0.979,Cave_7M,2
0.968,Cave_7M,3
0.975,Cave_7M,4
0.976,Cave_7M,5
0.972,Cave_7M,6
0.974,Cave_7M,7
0.973,Cave_7M,8
0.975,Cave_7M,9
0.877,Foss_7L,0
0.873,Foss_7L,1
0.873,Foss_7L,2
0.875,Foss_7L,3
0.884,Foss_7L,4
0.869,Foss_7L,5
0.867,Foss_7L,6
0.883,Foss_7L,7
0.883,Foss_7L,8
0.884,Foss_7L,9
0.986,Foss_7M,0
0.994,Foss_7M,1
0.979,Foss_7M,2
0.992,Foss_7M,3
0.988,Foss_7M,4
0.995,Foss_7M,5
0.991,Foss_7M,6
0.956,Foss_7M,7
0.993,Foss_7M,8
0.997,Foss_7M,9
0.98,Sax_7L,0
0.99,Sax_7L,1
0.954,Sax_7L,2
0.984,Sax_7L,3
0.99,Sax_7L,4
0.984,Sax_7L,5
0.981,Sax_7L,6
0.978,Sax_7L,7
0.978,Sax_7L,8
0.987,Sax_7L,9
0.982,Sax_7M,0
0.991,Sax_7M,1
0.95,Sax_7M,2
0.984,Sax_7M,3
0.991,Sax_7M,4
0.986,Sax_7M,5
0.983,Sax_7M,6
0.98,Sax_7M,7
0.981,Sax_7M,8
0.988,Sax_7M,9
0.836,Terr_7L,0
0.832,Terr_7L,1
0.838,Terr_7L,2
0.847,Terr_7L,3
0.846,Terr_7L,4
0.836,Terr_7L,5
0.84,Terr_7L,6
0.847,Terr_7L,7
0.849,Terr_7L,8
0.847,Terr_7L,9
0.808,Terr_7M,0
0.807,Terr_7M,1
0.797,Terr_7M,2
0.8,Terr_7M,3
0.802,Terr_7M,4
0.81,Terr_7M,5
0.795,Terr_7M,6
0.798,Terr_7M,7
0.81,Terr_7M,8
0.792,Terr_7M,9
