x,y,species max
1.0,1.0,2.704196E-6
2.0,2.0,0.1248176
3.0,3.0,0.54629636
4.0,4.0,0.07626823
5.0,5.0,1.9196454E-5
6.0,6.0,1.6123797E-6
7.0,7.0,0.05773672
8.0,8.0,0.050261382
9.0,9.0,2.0198118E-4
10.0,10.0,0.007152271
11.0,11.0,9.301193E-7
12.0,12.0,1.2025321E-4
13.0,13.0,0.105525814
14.0,14.0,0.13909021
15.0,15.0,3.621919E-8
16.0,16.0,1.1498574E-5
17.0,17.0,3.099856E-7
18.0,18.0,0.073928036
19.0,19.0,8.6189954E-7
20.0,20.0,0.019500418
21.0,21.0,0.007936226
22.0,22.0,5.9200333E-6
23.0,23.0,0.017874634
24.0,24.0,0.02268889
25.0,25.0,1.4881323E-5
26.0,26.0,0.19712844
27.0,27.0,8.425853E-7
28.0,28.0,0.33815682
29.0,29.0,0.13618942
30.0,30.0,1.1123121E-6
31.0,31.0,0.044357684
32.0,32.0,0.029235091
33.0,33.0,0.21525392
34.0,34.0,0.015406317
35.0,35.0,0.105103776
36.0,36.0,4.0877145E-5
37.0,37.0,0.00882219
38.0,38.0,0.0068861684
39.0,39.0,0.04453626
40.0,40.0,0.07284512
41.0,41.0,7.7210785E-7
42.0,42.0,0.09252751
43.0,43.0,3.0356464E-6
44.0,44.0,9.7539734E-5
45.0,45.0,2.2902996E-4
46.0,46.0,0.050227705
47.0,47.0,8.738023E-7
48.0,48.0,0.11537024
49.0,49.0,1.8830437E-5
50.0,50.0,0.010440609
51.0,51.0,2.0710544E-7
52.0,52.0,0.12679633
53.0,53.0,0.06685651
54.0,54.0,0.43894848
55.0,55.0,0.050964862
56.0,56.0,7.187552E-5
57.0,57.0,1.6377585E-4
58.0,58.0,6.9059465E-6
59.0,59.0,2.0503483E-4
60.0,60.0,0.17057124
61.0,61.0,0.013302958
62.0,62.0,1.1218702E-4
63.0,63.0,2.0847822E-6
64.0,64.0,2.8649209E-5
65.0,65.0,1.6098606E-5
66.0,66.0,0.0051752944
67.0,67.0,0.07329965
68.0,68.0,0.034546647
69.0,69.0,2.3482965E-4
70.0,70.0,0.041228924
71.0,71.0,0.35058898
72.0,72.0,0.0077284216
73.0,73.0,0.001941438
74.0,74.0,0.21524918
75.0,75.0,0.06862388
76.0,76.0,0.0022608235
77.0,77.0,0.101225756
78.0,78.0,2.89951E-6
79.0,79.0,1.1967311E-4
80.0,80.0,1.2120289E-4
81.0,81.0,0.107991226
82.0,82.0,0.1307944
83.0,83.0,0.010570934
84.0,84.0,0.004808873
85.0,85.0,2.240601E-5
86.0,86.0,0.20794563
87.0,87.0,0.09041283
88.0,88.0,2.1496278E-6
89.0,89.0,0.021575542
90.0,90.0,2.9188634E-6
91.0,91.0,0.7338601
92.0,92.0,0.096359245
93.0,93.0,1.1638202E-5
94.0,94.0,1.0696246E-4
95.0,95.0,2.8439492E-4
96.0,96.0,0.18804803
97.0,97.0,0.20856181
98.0,98.0,2.0220793E-7
99.0,99.0,1.9814497E-6
100.0,100.0,0.10985282
101.0,101.0,0.5835201
102.0,102.0,9.95127E-5
103.0,103.0,0.08952467
104.0,104.0,4.110979E-6
105.0,105.0,1.410341E-6
106.0,106.0,1.02670725E-4
107.0,107.0,0.06132728
108.0,108.0,0.6068277
109.0,109.0,0.066581376
110.0,110.0,0.03362478
111.0,111.0,1.9123294E-5
112.0,112.0,0.029137459
113.0,113.0,1.5722333E-4
114.0,114.0,1.6291773E-8
115.0,115.0,0.16278012
116.0,116.0,0.06808492
117.0,117.0,0.13434121
118.0,118.0,0.12158448
119.0,119.0,8.4445556E-4
120.0,120.0,0.24226145
121.0,121.0,1.925733E-6
122.0,122.0,1.1746832E-5
123.0,123.0,1.0706601E-6
124.0,124.0,5.4095005E-7
125.0,125.0,0.06250016
126.0,126.0,4.527097E-6
127.0,127.0,1.9859965E-6
128.0,128.0,0.16301255
129.0,129.0,0.040238276
130.0,130.0,0.07732489
131.0,131.0,0.030353393
